code_muni,ano,serie,value
2111722,2021,PIB,93076
2111722,2023,PIB,107921
2111748,2021,PIB,101830
2111748,2023,PIB,145324
2111763,2021,PIB,187130
2111763,2023,PIB,225141
2111789,2021,PIB,72441
2111789,2023,PIB,118312
2111805,2021,PIB,221499
2111805,2023,PIB,292191
2111904,2021,PIB,126217
2111904,2023,PIB,193909
2111953,2021,PIB,47999
2111953,2023,PIB,63214
2112001,2021,PIB,2351422
2112001,2023,PIB,2616708
2112100,2021,PIB,196337
2112100,2023,PIB,248536
2112209,2021,PIB,2320671
2112209,2023,PIB,2840126
2112233,2021,PIB,525500
2112233,2023,PIB,436529
2112274,2021,PIB,60049
2112274,2023,PIB,75760
2112308,2021,PIB,365192
2112308,2023,PIB,410127
2112407,2021,PIB,295916
2112407,2023,PIB,414975
2112456,2021,PIB,223067
2112456,2023,PIB,280000
2112506,2021,PIB,546155
2112506,2023,PIB,642713
2112605,2021,PIB,247485
2112605,2023,PIB,315151
2112704,2021,PIB,433473
2112704,2023,PIB,467351
2112803,2021,PIB,501710
2112803,2023,PIB,608731
2112852,2021,PIB,156914
2112852,2023,PIB,191495
2112902,2021,PIB,318163
2112902,2023,PIB,410267
2113009,2021,PIB,325509
2113009,2023,PIB,411453
2114007,2021,PIB,567070
2114007,2023,PIB,685858
2200053,2021,PIB,73623
2200053,2023,PIB,84924
2200103,2021,PIB,47283
2200103,2023,PIB,57335
2200202,2021,PIB,244027
2200202,2023,PIB,303532
2200251,2021,PIB,65442
2200251,2023,PIB,80787
2200277,2021,PIB,48184
2200277,2023,PIB,56359
2200301,2021,PIB,130958
2200301,2023,PIB,146913
2200400,2021,PIB,538140
2200400,2023,PIB,764914
2200459,2021,PIB,82125
2200459,2023,PIB,109088
2200509,2021,PIB,192594
2200509,2023,PIB,243954
2200608,2021,PIB,66749
2200608,2023,PIB,84772
2200707,2021,PIB,98552
2200707,2023,PIB,124990
2200806,2021,PIB,140157
2200806,2023,PIB,197619
2200905,2021,PIB,57305
2200905,2023,PIB,69489
2200954,2021,PIB,24630
2200954,2023,PIB,31540
2201002,2021,PIB,48922
2201002,2023,PIB,60133
2201051,2021,PIB,64266
2201051,2023,PIB,81045
2201101,2021,PIB,97602
2201101,2023,PIB,127137
2201150,2021,PIB,1768705
2201150,2023,PIB,2657264
2201176,2021,PIB,38963
2201176,2023,PIB,47271
2201200,2021,PIB,497742
2201200,2023,PIB,673463
2201309,2021,PIB,163172
2201309,2023,PIB,137542
2201408,2021,PIB,90192
2201408,2023,PIB,104885
2201507,2021,PIB,250807
2201507,2023,PIB,306176
2201556,2021,PIB,46876
2201556,2023,PIB,63283
2201572,2021,PIB,41264
2201572,2023,PIB,47523
2201606,2021,PIB,91898
2201606,2023,PIB,118265
2201705,2021,PIB,72471
2201705,2023,PIB,90844
2201739,2021,PIB,62570
2201739,2023,PIB,120127
2201770,2021,PIB,62507
2201770,2023,PIB,77969
2201804,2021,PIB,47772
2201804,2023,PIB,53637
2201903,2021,PIB,1411005
2201903,2023,PIB,1661674
2201919,2021,PIB,70166
2201919,2023,PIB,82659
2201929,2021,PIB,52945
2201929,2023,PIB,68106
2201945,2021,PIB,51725
2201945,2023,PIB,67424
2201960,2021,PIB,69325
2201960,2023,PIB,101117
2201988,2021,PIB,43979
2201988,2023,PIB,57956
2202000,2021,PIB,214793
2202000,2023,PIB,276426
2202026,2021,PIB,69690
2202026,2023,PIB,98669
2202059,2021,PIB,86140
2202059,2023,PIB,107817
2202075,2021,PIB,34182
2202075,2023,PIB,45637
2202083,2021,PIB,115379
2202083,2023,PIB,152471
2202091,2021,PIB,195079
2202091,2023,PIB,243767
2202109,2021,PIB,57498
2202109,2023,PIB,75221
2202117,2021,PIB,51328
2202117,2023,PIB,62191
2202133,2021,PIB,62139
2202133,2023,PIB,77243
2202174,2021,PIB,56554
2202174,2023,PIB,80881
2202208,2021,PIB,706324
2202208,2023,PIB,940802
2202251,2021,PIB,41948
2202251,2023,PIB,52032
2202307,2021,PIB,271402
2202307,2023,PIB,342972
2202406,2021,PIB,106411
2202406,2023,PIB,133031
2202455,2021,PIB,43672
2202455,2023,PIB,58704
2202505,2021,PIB,97485
2202505,2023,PIB,127543
2202539,2021,PIB,57437
2202539,2023,PIB,67977
2202554,2021,PIB,50032
2202554,2023,PIB,72564
2202604,2021,PIB,202304
2202604,2023,PIB,234521
2202653,2021,PIB,53144
2202653,2023,PIB,68616
2202703,2021,PIB,272775
2202703,2023,PIB,351832
2202711,2021,PIB,46961
2202711,2023,PIB,60324
2202729,2021,PIB,56962
2202729,2023,PIB,73414
2202737,2021,PIB,37708
2202737,2023,PIB,50029
2202752,2021,PIB,70560
2202752,2023,PIB,92949
2202778,2021,PIB,68111
2202778,2023,PIB,82383
2202802,2021,PIB,60446
2202802,2023,PIB,88408
2202851,2021,PIB,40770
2202851,2023,PIB,55718
2202901,2021,PIB,680737
2202901,2023,PIB,764222
2203008,2021,PIB,75069
2203008,2023,PIB,89547
2203107,2021,PIB,121468
2203107,2023,PIB,155696
2203206,2021,PIB,140861
2203206,2023,PIB,186259
2203230,2021,PIB,409013
2203230,2023,PIB,569946
2203255,2021,PIB,39660
2203255,2023,PIB,53723
2203271,2021,PIB,78414
2203271,2023,PIB,98620
2203305,2021,PIB,215834
2203305,2023,PIB,343573
2203354,2021,PIB,67493
2203354,2023,PIB,89611
2203404,2021,PIB,78053
2203404,2023,PIB,93969
2203420,2021,PIB,46532
2203420,2023,PIB,55943
2203453,2021,PIB,164347
2203453,2023,PIB,212410
2203503,2021,PIB,164745
2203503,2023,PIB,208873
2203602,2021,PIB,55592
2203602,2023,PIB,65844
2203701,2021,PIB,456615
2203701,2023,PIB,630893
2203750,2021,PIB,46774
2203750,2023,PIB,63132
2203800,2021,PIB,48120
2203800,2023,PIB,55149
2203859,2021,PIB,25258
2203859,2023,PIB,31642
2203909,2021,PIB,1375704
2203909,2023,PIB,1693508
2204006,2021,PIB,44797
2204006,2023,PIB,57191
2204105,2021,PIB,46763
2204105,2023,PIB,66833
2204154,2021,PIB,30662
2204154,2023,PIB,37456
2204204,2021,PIB,83053
2204204,2023,PIB,111541
2204303,2021,PIB,124838
2204303,2023,PIB,140145
2204352,2021,PIB,59302
2204352,2023,PIB,70886
2204402,2021,PIB,416900
2204402,2023,PIB,490465
2204501,2021,PIB,637210
2204501,2023,PIB,584966
2204550,2021,PIB,45099
2204550,2023,PIB,60294
2204600,2021,PIB,34066
2204600,2023,PIB,41161
2204659,2021,PIB,119727
2204659,2023,PIB,132842
2204709,2021,PIB,163649
2204709,2023,PIB,190110
2204808,2021,PIB,82428
2204808,2023,PIB,101790
2204907,2021,PIB,80798
2204907,2023,PIB,93919
2205003,2021,PIB,108203
2205003,2023,PIB,126851
2205102,2021,PIB,131859
2205102,2023,PIB,164342
2205151,2021,PIB,69073
2205151,2023,PIB,91192
2205201,2021,PIB,191773
2205201,2023,PIB,214290
2205250,2021,PIB,39633
2205250,2023,PIB,51476
2205276,2021,PIB,58752
2205276,2023,PIB,70003
2205300,2021,PIB,63533
2205300,2023,PIB,68875
2205359,2021,PIB,69289
2205359,2023,PIB,82059
2205409,2021,PIB,118898
2205409,2023,PIB,145543
2205458,2021,PIB,46226
2205458,2023,PIB,58125
2205508,2021,PIB,390737
2205508,2023,PIB,553848
2205516,2021,PIB,55948
2205516,2023,PIB,67355
2205524,2021,PIB,78729
2205524,2023,PIB,107847
2205532,2021,PIB,43566
2205532,2023,PIB,58058
2205540,2021,PIB,40519
2205540,2023,PIB,46590
2205557,2021,PIB,77320
2205557,2023,PIB,96065
2205565,2021,PIB,537525
2205565,2023,PIB,368693
2205573,2021,PIB,54980
2205573,2023,PIB,68299
2205581,2021,PIB,74653
2205581,2023,PIB,100849
2205599,2021,PIB,48595
2205599,2023,PIB,53534
2205607,2021,PIB,109799
2205607,2023,PIB,129242
2205706,2021,PIB,378632
2205706,2023,PIB,461806
2205805,2021,PIB,241246
2205805,2023,PIB,318552
2205854,2021,PIB,75141
2205854,2023,PIB,87322
2205904,2021,PIB,54807
2205904,2023,PIB,69457
2205953,2021,PIB,198363
2205953,2023,PIB,194855
2206001,2021,PIB,54884
2206001,2023,PIB,68705
2206050,2021,PIB,52130
2206050,2023,PIB,60923
2206100,2021,PIB,95557
2206100,2023,PIB,132516
2206209,2021,PIB,312836
2206209,2023,PIB,421897
2206308,2021,PIB,23618
2206308,2023,PIB,34693
2206357,2021,PIB,53563
2206357,2023,PIB,67925
2206407,2021,PIB,127395
2206407,2023,PIB,161627
2206506,2021,PIB,72882
2206506,2023,PIB,91424
2206605,2021,PIB,298089
2206605,2023,PIB,391314
2206654,2021,PIB,39149
2206654,2023,PIB,53314
2206670,2021,PIB,62450
2206670,2023,PIB,75684
2206696,2021,PIB,74909
2206696,2023,PIB,103630
2206704,2021,PIB,67047
2206704,2023,PIB,78812
2206720,2021,PIB,94898
2206720,2023,PIB,134076
2206753,2021,PIB,47885
2206753,2023,PIB,69230
2206803,2021,PIB,78547
2206803,2023,PIB,117751
2206902,2021,PIB,58176
2206902,2023,PIB,66803
2206951,2021,PIB,31237
2206951,2023,PIB,38563
2207009,2021,PIB,584518
2207009,2023,PIB,740096
2207108,2021,PIB,28731
2207108,2023,PIB,38346
2207207,2021,PIB,73919
2207207,2023,PIB,88445
2207306,2021,PIB,44250
2207306,2023,PIB,58224
2207355,2021,PIB,52581
2207355,2023,PIB,61084
2207405,2021,PIB,141457
2207405,2023,PIB,180249
2207504,2021,PIB,138834
2207504,2023,PIB,167663
2207553,2021,PIB,44237
2207553,2023,PIB,53217
2207603,2021,PIB,119216
2207603,2023,PIB,133949
2207702,2021,PIB,2973925
2207702,2023,PIB,3682146
2207751,2021,PIB,48758
2207751,2023,PIB,62728
2207777,2021,PIB,64630
2207777,2023,PIB,65641
2207793,2021,PIB,33613
2207793,2023,PIB,43954
2207801,2021,PIB,267774
2207801,2023,PIB,359215
2207850,2021,PIB,37693
2207850,2023,PIB,45823
2207900,2021,PIB,386328
2207900,2023,PIB,499936
2207934,2021,PIB,31322
2207934,2023,PIB,38185
2207959,2021,PIB,43931
2207959,2023,PIB,51654
2208007,2021,PIB,1941759
2208007,2023,PIB,2456682
2208106,2021,PIB,106976
2208106,2023,PIB,120257
2208205,2021,PIB,202556
2208205,2023,PIB,234055
2208304,2021,PIB,363519
2208304,2023,PIB,464676
2208403,2021,PIB,917296
2208403,2023,PIB,1242361
2208502,2021,PIB,118547
2208502,2023,PIB,143077
2208551,2021,PIB,39212
2208551,2023,PIB,47843
2208601,2021,PIB,27584
2208601,2023,PIB,43355
2208650,2021,PIB,253314
2208650,2023,PIB,188828
2208700,2021,PIB,97930
2208700,2023,PIB,125613
2208809,2021,PIB,264517
2208809,2023,PIB,337226
2208858,2021,PIB,46279
2208858,2023,PIB,61503
2208874,2021,PIB,217390
2208874,2023,PIB,278046
2208908,2021,PIB,695855
2208908,2023,PIB,927445
2209005,2021,PIB,61491
2209005,2023,PIB,75898
2209104,2021,PIB,61012
2209104,2023,PIB,78053
2209153,2021,PIB,45473
2209153,2023,PIB,51690
2209203,2021,PIB,615148
2209203,2023,PIB,789358
2209302,2021,PIB,62465
2209302,2023,PIB,87685
2209351,2021,PIB,40807
2209351,2023,PIB,52380
2209377,2021,PIB,50228
2209377,2023,PIB,63445
2209401,2021,PIB,72021
2209401,2023,PIB,97849
2209450,2021,PIB,18051
2209450,2023,PIB,25284
2209500,2021,PIB,40377
2209500,2023,PIB,49248
2209559,2021,PIB,39471
2209559,2023,PIB,53740
2209609,2021,PIB,32116
2209609,2023,PIB,38023
2209658,2021,PIB,55545
2209658,2023,PIB,68222
2209708,2021,PIB,58406
2209708,2023,PIB,67264
2209757,2021,PIB,54607
2209757,2023,PIB,64213
2209807,2021,PIB,56735
2209807,2023,PIB,80523
2209856,2021,PIB,49321
2209856,2023,PIB,54282
2209872,2021,PIB,60925
2209872,2023,PIB,74940
2209906,2021,PIB,59723
2209906,2023,PIB,72738
2209955,2021,PIB,36648
2209955,2023,PIB,45940
2209971,2021,PIB,68235
2209971,2023,PIB,95904
2210003,2021,PIB,426952
2210003,2023,PIB,418479
2210052,2021,PIB,63754
2210052,2023,PIB,83009
2210102,2021,PIB,42837
2210102,2023,PIB,50039
2210201,2021,PIB,68088
2210201,2023,PIB,81017
2210300,2021,PIB,59545
2210300,2023,PIB,67832
2210359,2021,PIB,45314
2210359,2023,PIB,54907
2210375,2021,PIB,25333
2210375,2023,PIB,28433
2210383,2021,PIB,27272
2210383,2023,PIB,32909
2210391,2021,PIB,47464
2210391,2023,PIB,36836
2210409,2021,PIB,163378
2210409,2023,PIB,206592
2210508,2021,PIB,134836
2210508,2023,PIB,159452
2210607,2021,PIB,566295
2210607,2023,PIB,761785
2210623,2021,PIB,46712
2210623,2023,PIB,57577
2210631,2021,PIB,255418
2210631,2023,PIB,724911
2210656,2021,PIB,78161
2210656,2023,PIB,97006
2210706,2021,PIB,434505
2210706,2023,PIB,543068
2210805,2021,PIB,182912
2210805,2023,PIB,236711
2210904,2021,PIB,41067
2210904,2023,PIB,52907
2210938,2021,PIB,76908
2210938,2023,PIB,85293
2210953,2021,PIB,30388
2210953,2023,PIB,39134
2210979,2021,PIB,33181
2210979,2023,PIB,44035
2211001,2021,PIB,23954511
2211001,2023,PIB,29449063
2211100,2021,PIB,420370
2211100,2023,PIB,609122
2211209,2021,PIB,2829979
2211209,2023,PIB,4226266
2211308,2021,PIB,289698
2211308,2023,PIB,385864
2211357,2021,PIB,44541
2211357,2023,PIB,60846
2211407,2021,PIB,40996
2211407,2023,PIB,54664
2211506,2021,PIB,31078
2211506,2023,PIB,38796
2211605,2021,PIB,37035
2211605,2023,PIB,41921
2211704,2021,PIB,38008
2211704,2023,PIB,58144
2300101,2021,PIB,117971
2300101,2023,PIB,143730
2300150,2021,PIB,179994
2300150,2023,PIB,220474
2300200,2021,PIB,1020201
2300200,2023,PIB,1250251
2300309,2021,PIB,564520
2300309,2023,PIB,693535
2300408,2021,PIB,151596
2300408,2023,PIB,169076
2300507,2021,PIB,98202
2300507,2023,PIB,115643
2300606,2021,PIB,74654
2300606,2023,PIB,92128
2300705,2021,PIB,232268
2300705,2023,PIB,273863
2300754,2021,PIB,665472
2300754,2023,PIB,808126
2300804,2021,PIB,78953
