code_amc,solo_dominante,pct_dominante,area_mapeada_km2,pct_solo_agua_dunas,pct_solo_argissolos,pct_solo_gleissolos,pct_solo_latossolos,pct_solo_luvissolos,pct_solo_neossolos,pct_solo_plintossolos,pct_solo_nitossolos,pct_solo_vertissolos,pct_solo_dunas,pct_solo_chernossolos,pct_solo_planossolos,pct_solo_cambissolos,pct_solo_espodossolos
5032,ARGISSOLOS,100,108.34598572992172,0,100,0,0,0,0,0,0,0,0,0,0,0,0
5033,LATOSSOLOS,61.18776993894022,108.37903942330291,0,0,0,61.18776993894022,0,38.812230061059786,0,0,0,0,0,0,0,0
5034,ARGISSOLOS,100,125.79088546931278,0,100,0,0,0,0,0,0,0,0,0,0,0,0
5035,NEOSSOLOS,100,264.80777397962777,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5036,ARGISSOLOS,67.03371641396984,135.95118539062733,0,67.03371641396984,0,32.496930613072436,0,0,0,0,0,0,0,0.4693529729577282,0,0
5037,NEOSSOLOS,46.610557595667366,109.32582991733467,0,0.2822337401369162,12.525453890773944,40.58175477342178,0,46.610557595667366,0,0,0,0,0,0,0,0
5038,CAMBISSOLOS,59.81742935458992,268.72314978281184,0,24.2202183708461,0,4.802857188651742,0,0,0,0,0,0,11.159495085912235,0,59.81742935458992,0
5039,LUVISSOLOS,73.23863477833133,578.9963978743891,0,0,0,0,73.23863477833133,26.76136522166866,0,0,0,0,0,0,0,0
5040,ARGISSOLOS,62.980206866791605,181.54341054046603,0,62.980206866791605,0,0,18.55205796973982,18.467735163468568,0,0,0,0,0,0,0,0
5041,NEOSSOLOS,97.4337954441067,63.29552577698085,0,2.5662045558932887,0,0,0,97.4337954441067,0,0,0,0,0,0,0,0
5042,NEOSSOLOS,73.94285217018243,334.87459225983685,0,0,14.01447853608244,0,0,73.94285217018243,0,0,0,0,0,0,12.042669293735122,0
5043,LATOSSOLOS,58.35047227252262,192.42568103337175,0,37.75332738779626,3.8962003396811116,58.35047227252262,0,0,0,0,0,0,0,0,0,0
5044,CAMBISSOLOS,75.89284247948382,1128.992560550025,0,0,0,0.027017449177406224,0,0,0,0,0,0,24.080140071338764,0,75.89284247948382,0
5045,LATOSSOLOS,80.06992401889302,258.04066076033735,0,0,19.93007598110699,80.06992401889302,0,0,0,0,0,0,0,0,0,0
5046,NEOSSOLOS,78.3746493232853,245.78241263840718,0,0,19.476320887695056,0,0,78.3746493232853,0,0,0,0,0,0,2.14902978901964,0
5047,ARGISSOLOS,94.5845693631277,312.1199508634106,0,94.5845693631277,0,3.800639939925957,0,0,0,0,0,0,0,1.614790696946351,0,0
5048,NEOSSOLOS,77.14120324234173,577.8768472775345,0.0075467216551671585,0,0,22.68053485637991,0,77.14120324234173,0,0,0,0,0,0,0.17071517962318292,0
5049,LUVISSOLOS,100,127.9446908952341,0,0,0,0,100,0,0,0,0,0,0,0,0,0
5050,LUVISSOLOS,66.26800582668704,132.96213101950747,0,4.311116649049428,0,0,66.26800582668704,29.420877524263535,0,0,0,0,0,0,0,0
5051,NEOSSOLOS,100,54.6080578947481,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5052,CAMBISSOLOS,99.11943374031736,435.5689735832251,0,0,0,0,0.4315740618493689,0.4489921978332675,0,0,0,0,0,0,99.11943374031736,0
5053,ARGISSOLOS,57.06584581843089,304.74420703320936,0,57.06584581843089,0,0,42.9341541815691,0,0,0,0,0,0,0,0,0
5054,PLANOSSOLOS,84.18447093999585,187.43409634309324,0,15.815529060004158,0,0,0,0,0,0,0,0,0,84.18447093999585,0,0
5055,NEOSSOLOS,91.55022695751107,188.7678704682314,0,0,0,0,0,91.55022695751107,0,0,0,0,0,8.449773042488934,0,0
5056,PLANOSSOLOS,85.76486622106572,253.97094648178629,0,0,0,0,11.032812676729577,3.2023211022047122,0,0,0,0,0,85.76486622106572,0,0
5057,LUVISSOLOS,100.00000000000001,331.0551066614255,0,0,0,0,100.00000000000001,0,0,0,0,0,0,0,0,0
5058,LUVISSOLOS,100,368.7134309754563,0,0,0,0,100,0,0,0,0,0,0,0,0,0
