"especificacao","tratamento","outcome","n_obs","coef_ss","se_ss","t_stat","p_value","f_stat","r2_ss","erro"
"Amostra completa + FE Estado","Distância até ferrovia (km)","PIB Agropecuária (2003)",1048,-0.000795036889430903,0.00273737950435943,-0.290437218575196,0.771481773866091,310.252036343356,0.212981845723224,NA
"Amostra completa + FE Estado","Dummy atendimento (≤25km)","PIB Agropecuária (2003)",1048,0.605834675337934,0.212004689143329,2.8576475255618,0.00426794188374813,123.523217818321,0.219637877708909,NA
"Amostra completa + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Agropecuária (2003)",1048,0.0110687517637016,0.00513317797476438,2.15631560372884,0.0310590296720354,32.0296815041895,0.22093630451769,NA
"Amostra completa + FE Estado","Distância até ferrovia (km)","PIB Indústria (2003)",1048,-0.00617373170234189,0.00223719668981003,-2.75958378199913,0.00578750449079046,310.252036343356,0.0881790639422455,NA
"Amostra completa + FE Estado","Dummy atendimento (≤25km)","PIB Indústria (2003)",1048,2.80978648034203,0.435701430360854,6.44888055110337,1.12679421349071e-10,123.523217818321,0.136153728735671,NA
"Amostra completa + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Indústria (2003)",1048,0.0511740486300212,0.015401982672865,3.32256240751257,0.000891947167924068,32.0296815041895,0.145606860467213,NA
"Amostra completa + FE Estado (sem lag espacial)","Distância até ferrovia (km)","População (2003)",1048,-0.00184077727078073,0.000505727407984669,-3.63986060814116,0.000272785670534237,2173.50278910788,0.169616119251308,NA
"Amostra completa + FE Estado (sem lag espacial)","Dummy atendimento (≤25km)","População (2003)",1048,0.669648616540488,0.154668656918369,4.32956896298593,1.4940147982756e-05,193.740813884716,0.178861003299369,NA
"Amostra completa + FE Estado (sem lag espacial)","Densidade de ferrovias (km/1000km²)","População (2003)",1048,0.0198954563619919,0.00594878949883598,3.3444545929697,0.000824445241689453,38.4207360852758,0.203617869474335,NA
"Amostra completa + FE Estado (sem lag espacial)","Distância até ferrovia (km)","População (2010)",1048,-0.0017882502850517,0.000513272523034801,-3.48401717371973,0.000493947792065352,2173.50278910788,0.168255766213046,NA
"Amostra completa + FE Estado (sem lag espacial)","Dummy atendimento (≤25km)","População (2010)",1048,0.696481439966911,0.156357051246938,4.45442936159587,8.41166170251206e-06,193.740813884716,0.179303050674063,NA
"Amostra completa + FE Estado (sem lag espacial)","Densidade de ferrovias (km/1000km²)","População (2010)",1048,0.0202734899681572,0.00603791423095334,3.35769757447451,0.00078594552311273,38.4207360852758,0.203699641916952,NA
"Amostra completa + FE Estado (sem lag espacial)","Distância até ferrovia (km)","PIB Total (2003)",1048,-0.00118104169644919,0.00082539923941137,-1.43087325509464,0.152466543369511,2173.50278910788,0.107007495543542,NA
"Amostra completa + FE Estado (sem lag espacial)","Dummy atendimento (≤25km)","PIB Total (2003)",1048,1.16415814587994,0.204771283120901,5.68516311534074,1.30687862753831e-08,193.740813884716,0.141185666596016,NA
"Amostra completa + FE Estado (sem lag espacial)","Densidade de ferrovias (km/1000km²)","PIB Total (2003)",1048,0.0277850640950803,0.00810662433251905,3.42745179194043,0.000609274472626709,38.4207360852758,0.159859790244117,NA
"Amostra completa + FE Estado (sem lag espacial)","Distância até ferrovia (km)","PIB Valor Adicionado (2003)",1048,-0.00108132089129828,0.000816543399307345,-1.32426628176229,0.185414624609286,2173.50278910788,0.108124423056921,NA
"Amostra completa + FE Estado (sem lag espacial)","Dummy atendimento (≤25km)","PIB Valor Adicionado (2003)",1048,1.11941998142685,0.199646790767995,5.60700213171823,2.0586112592369e-08,193.740813884716,0.141394251626287,NA
