code_amc,ano,pop_rural,pop_urbana,pop_total,tx_urbanizacao
3036,1991,98779,19451,118230,0.16451831176520343
3036,1996,107256,23406,130662,0.17913394866143179
3036,2000,73207,67414,140621,0.47940208077029745
3036,2007,70584,79557,150141,0.5298819110036566
3036,2010,76385,86517,162902,0.5310984518299345
3036,2022,74086,95181,169267,0.5623127957605439
3037,1940,16318,3359,19677,0.17070691670478225
3037,1950,16614,4790,21404,0.22378994580452252
3037,1960,17377,9792,27169,0.36041076226581764
3037,1970,17946,10869,28815,0.37719937532535136
3037,1980,19883,15070,34953,0.4311504019683575
3037,1991,23927,23769,47696,0.49834367661858436
3037,1996,24708,26809,51517,0.5203913271347322
3037,2000,19218,31900,51118,0.6240463241910873
3037,2007,18979,35973,54952,0.6546258552918911
3037,2010,19767,44452,64219,0.692193899001853
3037,2022,17524,45615,63139,0.7224536340455187
3038,1940,70832,7042,77874,0.09042812748799342
3038,1950,92902,14445,107347,0.13456361146562085
3038,1960,109628,19025,128653,0.14787840159187893
3038,1970,57599,30735,88334,0.3479407702583377
3038,1980,68791,56718,125509,0.45190384753284624
3038,1991,61394,84331,145725,0.57869960542117
3038,1996,55676,90369,146045,0.6187750350919238
3038,2000,46663,107927,154590,0.6981499450158484
3038,2007,45154,114635,159789,0.7174148408213331
3038,2010,47187,125180,172367,0.726241101835038
3038,2022,45208,128654,173862,0.7399776834500926
3039,1970,10882,518,11400,0.04543859649122807
3039,1980,11843,966,12809,0.07541572331954095
3039,1991,13478,1626,15104,0.10765360169491525
3039,1996,13663,1942,15605,0.12444729253444409
3039,2000,11667,4506,16173,0.2786125023186793
3039,2007,11842,4899,16741,0.29263484857535393
3039,2010,11519,4808,16327,0.2944815336559074
3039,2022,11265,4897,16162,0.3029946788763767
3040,1970,11645,732,12377,0.05914195685545771
3040,1980,13383,2690,16073,0.16736141355067505
3040,1991,11490,5366,16856,0.318343616516374
3040,1996,11454,6504,17958,0.362178416304711
