NC,NN,MN,V,D1C,D1N,D2N,D3N,D4N
6,Município,,NA,2100105,Afonso Cunha - MA,1985,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1985,Quantidade produzida,Total
6,Município,Mil Cruzeiros,887,2100105,Afonso Cunha - MA,1985,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1986,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1986,Quantidade produzida,Total
6,Município,Mil Cruzados,2637,2100105,Afonso Cunha - MA,1986,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1987,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1987,Quantidade produzida,Total
6,Município,Mil Cruzados,7407,2100105,Afonso Cunha - MA,1987,Valor da produção,Total
6,Município,Hectares,1536,2100105,Afonso Cunha - MA,1988,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1988,Quantidade produzida,Total
6,Município,Mil Cruzados,97362,2100105,Afonso Cunha - MA,1988,Valor da produção,Total
6,Município,Hectares,1611,2100105,Afonso Cunha - MA,1989,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1989,Quantidade produzida,Total
6,Município,Mil Cruzados Novos,850,2100105,Afonso Cunha - MA,1989,Valor da produção,Total
6,Município,Hectares,1635,2100105,Afonso Cunha - MA,1990,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1990,Quantidade produzida,Total
6,Município,Mil Cruzeiros,18138,2100105,Afonso Cunha - MA,1990,Valor da produção,Total
6,Município,Hectares,1516,2100105,Afonso Cunha - MA,1991,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1991,Quantidade produzida,Total
6,Município,Mil Cruzeiros,94904,2100105,Afonso Cunha - MA,1991,Valor da produção,Total
6,Município,Hectares,1492,2100105,Afonso Cunha - MA,1992,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1992,Quantidade produzida,Total
6,Município,Mil Cruzeiros,844585,2100105,Afonso Cunha - MA,1992,Valor da produção,Total
6,Município,Hectares,1282,2100105,Afonso Cunha - MA,1993,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1993,Quantidade produzida,Total
6,Município,Mil Cruzeiros Reais,8786,2100105,Afonso Cunha - MA,1993,Valor da produção,Total
6,Município,Hectares,1331,2100105,Afonso Cunha - MA,1994,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1994,Quantidade produzida,Total
6,Município,Mil Reais,274,2100105,Afonso Cunha - MA,1994,Valor da produção,Total
6,Município,Hectares,1456,2100105,Afonso Cunha - MA,1995,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1995,Quantidade produzida,Total
6,Município,Mil Reais,265,2100105,Afonso Cunha - MA,1995,Valor da produção,Total
6,Município,Hectares,1078,2100105,Afonso Cunha - MA,1996,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1996,Quantidade produzida,Total
6,Município,Mil Reais,367,2100105,Afonso Cunha - MA,1996,Valor da produção,Total
6,Município,Hectares,1049,2100105,Afonso Cunha - MA,1997,Área plantada ou destinada à colheita,Total
