serie,code_muni,ano,value
PIB,2101103,2006,28712.8038594955
PIB,2101103,2007,30809.3275240324
PIB,2101103,2008,35423.6702594844
PIB,2101103,2009,39890.9335735994
PIB,2101103,2010,34402.53
PIB,2101202,1920,2685.0778448117
PIB,2101202,1939,29140.0508201417
PIB,2101202,1949,53236.4558511394
PIB,2101202,1959,132962.468030621
PIB,2101202,1970,181341.263077951
PIB,2101202,1975,281372.903504526
PIB,2101202,1980,371406.887831529
PIB,2101202,1985,285400.354028487
PIB,2101202,1996,260556.631068024
PIB,2101202,1999,280961.439612923
PIB,2101202,2000,307506.316476482
PIB,2101202,2001,342075.457096943
PIB,2101202,2002,370536.002508821
PIB,2101202,2003,377081.634188264
PIB,2101202,2004,405206.112789676
PIB,2101202,2005,458660.931567496
PIB,2101202,2006,484740.157110807
PIB,2101202,2007,466573.571107339
PIB,2101202,2008,528907.400433411
PIB,2101202,2009,548762.16300663
PIB,2101202,2010,521932.232
PIB,2101251,1999,47668.1147555478
PIB,2101251,2000,93593.1066426368
PIB,2101251,2001,95149.8287142408
PIB,2101251,2002,99784.3317361288
PIB,2101251,2003,107482.326592279
PIB,2101251,2004,106511.191472359
PIB,2101251,2005,114043.583460714
PIB,2101251,2006,123316.054439888
PIB,2101251,2007,124688.438236001
PIB,2101251,2008,145800.234770454
PIB,2101251,2009,103584.460041949
PIB,2101251,2010,117822.161
PIB,2101301,1970,10051.4463165828
PIB,2101301,1975,14837.8183353093
PIB,2101301,1980,27629.740146015
PIB,2101301,1985,16640.6824040222
PIB,2101301,1996,21351.8991131713
PIB,2101301,1999,26709.2951882878
PIB,2101301,2000,28889.7362118548
PIB,2101301,2001,31351.9822702349
PIB,2101301,2002,31866.4099207805
PIB,2101301,2003,31323.1706687616
PIB,2101301,2004,33028.33692028
PIB,2101301,2005,33575.8644130969
PIB,2101301,2006,38692.0385906739
PIB,2101301,2007,41088.7439705429
PIB,2101301,2008,48721.906295067
PIB,2101301,2009,51612.3974456606
PIB,2101301,2010,49196.333
PIB,2101350,1999,13055.1891254812
PIB,2101350,2000,12616.293273635
PIB,2101350,2001,16135.0130765996
PIB,2101350,2002,16712.5310254702
PIB,2101350,2003,15578.6601501345
PIB,2101350,2004,16403.919919878
PIB,2101350,2005,15545.5611298213
PIB,2101350,2006,15939.1303284523
PIB,2101350,2007,17140.1555812177
PIB,2101350,2008,18118.4057665811
PIB,2101350,2009,19317.2484115637
PIB,2101350,2010,18690.426
PIB,2101400,1920,5389.2636123108005
PIB,2101400,1939,6905.2254560496
PIB,2101400,1949,6079.2976094671
PIB,2101400,1959,29537.7137805973
PIB,2101400,1970,28349.1331580514
PIB,2101400,1975,37797.8110082077
PIB,2101400,1980,116603.945169659
PIB,2101400,1985,157565.760741898
PIB,2101400,1996,252128.987258914
PIB,2101400,1999,802847.788540085
PIB,2101400,2000,869606.902598882
PIB,2101400,2001,866625.048604238
PIB,2101400,2002,838809.978085692
PIB,2101400,2003,950093.879721828
PIB,2101400,2004,1028327.67590117
PIB,2101400,2005,1276381.60940979
PIB,2101400,2006,921707.124008015
PIB,2101400,2007,792641.609761205
PIB,2101400,2008,1043444.31737256
PIB,2101400,2009,1215437.91361598
PIB,2101400,2010,1102443.053
PIB,2101509,1920,1188.7205898081
PIB,2101509,1939,4128.6462792388
PIB,2101509,1949,1804.9503544163
PIB,2101509,1959,10226.3153343856
PIB,2101509,1970,40765.8966715209
PIB,2101509,1975,23882.9039491697
PIB,2101509,1980,53280.6267572748
PIB,2101509,1985,45225.4754308986
PIB,2101509,1996,25620.4747680639
PIB,2101509,1999,35798.5533981147
PIB,2101509,2000,36342.4421205645
PIB,2101509,2001,37596.2834684358
PIB,2101509,2002,38955.2657309736
PIB,2101509,2003,39499.6356298124
PIB,2101509,2004,40581.329684909
PIB,2101509,2005,46620.222027717
PIB,2101509,2006,48391.6064985056
PIB,2101509,2007,53665.4823285553
PIB,2101509,2008,61318.2460268746
PIB,2101509,2009,79936.696758576
PIB,2101509,2010,77841.971
PIB,2101608,1920,4941.8233197403
PIB,2101608,1939,29708.792531543
PIB,2101608,1949,18748.8737435659
PIB,2101608,1959,68626.8235070194
PIB,2101608,1970,136149.00892564
PIB,2101608,1975,154234.38513823
PIB,2101608,1980,256955.203133047
PIB,2101608,1985,237610.283280782
PIB,2101608,1996,149872.650108828
PIB,2101608,1999,222529.77503047
PIB,2101608,2000,244737.638006855
PIB,2101608,2001,252276.515828154
PIB,2101608,2002,265500.264285628
PIB,2101608,2003,253391.300887258
PIB,2101608,2004,279389.14224979
PIB,2101608,2005,317634.939449377
PIB,2101608,2006,331279.182950507
PIB,2101608,2007,453304.581102652
PIB,2101608,2008,504277.744316948
PIB,2101608,2009,425677.753638387
PIB,2101608,2010,493848.663
PIB,2101707,1920,1174.4201988196
PIB,2101707,1939,12413.2252276536
PIB,2101707,1949,5722.3923497457
PIB,2101707,1959,15079.4778462394
PIB,2101707,1970,23236.4999806252
PIB,2101707,1975,30047.4470964436
PIB,2101707,1980,45010.754422333
PIB,2101707,1985,45451.3814228775
PIB,2101707,1996,60390.7453956583
PIB,2101707,1999,89503.5295508615
PIB,2101707,2000,97331.662248485
PIB,2101707,2001,101216.758766386
PIB,2101707,2002,108533.18921447
PIB,2101707,2003,118314.916766977
PIB,2101707,2004,122466.943855564
PIB,2101707,2005,126962.583576656
PIB,2101707,2006,133459.400108499
PIB,2101707,2007,164011.852859905
PIB,2101707,2008,180129.762289978
PIB,2101707,2009,160847.36253389
PIB,2101707,2010,175408.957
PIB,2101731,1999,16504.4989631716
PIB,2101731,2000,17059.54381996
PIB,2101731,2001,17355.2912682834
PIB,2101731,2002,18241.9118725444
PIB,2101731,2003,18786.2262248492
PIB,2101731,2004,25246.2319159044
PIB,2101731,2005,23818.7130069687
PIB,2101731,2006,27425.6554622173
PIB,2101731,2007,26487.4823246002
PIB,2101731,2008,47422.8719854483
PIB,2101731,2009,28500.8797301961
PIB,2101731,2010,27260.577
PIB,2101772,1999,15085.7583990596
PIB,2101772,2000,15777.3455018748
