Limiar_km,Outcome,Modelo,Coef,DP,P,F_Stat,N
25 km,PIB p.c. (2000),M4,0.6630846476816361,0.11905452319797324,2.5534235170709962e-8,78.57528084114853,1228
25 km,PIB p.c. (2010),M1,0.27751108349174886,0.06658990732590775,3.080062857296895e-5,174.28863326865428,1233
25 km,PIB p.c. (2010),M2,0.6486065701316301,0.09607613054827031,1.468647425895142e-11,112.97039666307668,1233
25 km,PIB p.c. (2010),M3,0.6148687419243064,0.11273462017385076,4.921449692218971e-8,82.96770990610244,1233
25 km,PIB p.c. (2010),M4,0.6294554034171065,0.11525935045632947,4.729028812988645e-8,79.27914318788379,1231
25 km,Pop. Total (1991),M1,0.5442440139171256,0.1487230779485619,2.5276148724495684e-4,169.94878021721942,1228
25 km,Pop. Total (1991),M2,0.5664317799670424,0.18420122359877414,0.002104526811038676,109.55881034242401,1228
25 km,Pop. Total (1991),M3,0.4614968721849375,0.21593253243745614,0.0325795203168171,80.45301584022162,1228
25 km,Pop. Total (1991),M4,0.4244962360315935,0.21704451362323518,0.050488405991621965,78.52384129300924,1227
25 km,Pop. Total (2000),M1,0.6113274074146011,0.154857883925732,7.891636260803914e-5,170.2440337375105,1229
25 km,Pop. Total (2000),M2,0.6545792142210654,0.19197434535215105,6.502904745171456e-4,109.75184391832929,1229
25 km,Pop. Total (2000),M3,0.5403625331010931,0.22334372701420566,0.015545231276800964,80.49897502428104,1229
25 km,Pop. Total (2000),M4,0.49893032379174385,0.2243802446606925,0.026175845227784267,78.57528084114853,1228
25 km,Pop. Total (2010),M1,0.7455123581629962,0.16161762879501473,3.972502489402174e-6,174.28863326865428,1233
25 km,Pop. Total (2010),M2,0.8213721455220364,0.20138718649655032,4.531316417311082e-5,112.97039666307668,1233
25 km,Pop. Total (2010),M3,0.7116520667145554,0.2346284959748688,0.0024205408970761066,82.96770990610244,1233
25 km,Pop. Total (2010),M4,0.6249106711863565,0.23363779770854481,0.00747964786097266,79.27914318788379,1231
25 km,Tx. Urban. (2010),M1,0.06509843735176254,0.031680385919064226,0.03989350624454158,174.28863326865428,1233
25 km,Tx. Urban. (2010),M2,0.1449191939783317,0.039672625357276003,2.5931914587684624e-4,112.97039666307668,1233
25 km,Tx. Urban. (2010),M3,0.09996149180589199,0.0449632605209862,0.026203559530175724,82.96770990610244,1233
25 km,Tx. Urban. (2010),M4,0.11610233503507919,0.04652030368702038,0.012569658038952936,79.27914318788379,1231
25 km,Val. Prod. (2000),M1,1.943795468123444,0.36321524712478936,8.716302302147483e-8,90.910150782074,928
25 km,Val. Prod. (2000),M2,2.4369690205240797,0.45624217369145137,9.223475339048548e-8,65.74678573852084,928
25 km,Val. Prod. (2000),M3,1.9988311446156555,0.5530012110542715,3.0091045336377853e-4,38.66918610687115,928
25 km,Val. Prod. (2000),M4,1.7580450479454857,0.541525351167541,0.0011684633737918393,36.05297187809414,927
25 km,Val. Prod. (2010),M1,2.5149855733024618,0.45149835079220507,2.542871468946828e-8,90.910150782074,928
25 km,Val. Prod. (2010),M2,3.4000998756151337,0.6027283792345582,1.6888771492418186e-8,65.74678573852084,928
25 km,Val. Prod. (2010),M3,2.3625550944015608,0.6761350063457465,4.7547372226786067e-4,38.66918610687115,928
25 km,Val. Prod. (2010),M4,2.089497987438315,0.667689900437492,0.0017513759938800888,36.05297187809414,927
25 km,IDHM (2000),M1,0.03184016466844203,0.009452649822206297,7.56099092414031e-4,174.28863326865428,1233
25 km,IDHM (2000),M2,0.05172875757488851,0.011836899777952095,1.2417418695065408e-5,112.97039666307668,1233
25 km,IDHM (2000),M3,0.05565485230594277,0.01376307939401065,5.2596485545119975e-5,82.96770990610244,1233
25 km,IDHM (2000),M4,0.06228400686100169,0.013441604687235518,3.5923349106514735e-6,79.27914318788379,1231
25 km,IDHM (2010),M1,0.014103379718471571,0.006936497126929521,0.042030956028905386,174.28863326865428,1233
25 km,IDHM (2010),M2,0.02709584958259667,0.008494067671729154,0.001422859095821627,112.97039666307668,1233
25 km,IDHM (2010),M3,0.02904755470518915,0.009745425673939065,0.002876516259548545,82.96770990610244,1233
25 km,IDHM (2010),M4,0.03350011763159889,0.00936571344382017,3.477076990572314e-4,79.27914318788379,1231
25 km,Renda p.c. (2000),M1,0.1930247207437738,0.055993286632912406,5.662545084468285e-4,174.28863326865428,1233
25 km,Renda p.c. (2000),M2,0.37665854414898264,0.07445336044950102,4.214907389776812e-7,112.97039666307668,1233
25 km,Renda p.c. (2000),M3,0.3990198771192215,0.09133846178885549,1.2505387491090758e-5,82.96770990610244,1233
25 km,Renda p.c. (2000),M4,0.4303042929643924,0.08739048704062369,8.482491609118625e-7,79.27914318788379,1231
25 km,Renda p.c. (2010),M1,0.11553678713342609,0.04538430960583529,0.01090454470561264,174.28863326865428,1233
25 km,Renda p.c. (2010),M2,0.26491326271094606,0.05875200970309098,6.513155270448934e-6,112.97039666307668,1233
25 km,Renda p.c. (2010),M3,0.2626516522482262,0.06985480216913278,1.6993673184684255e-4,82.96770990610244,1233
25 km,Renda p.c. (2010),M4,0.2882376617401943,0.06762626612854274,2.024108823883708e-5,79.27914318788379,1231
25 km,% Pobres (2010),M1,-6.841660816567618,1.7734535911635323,1.1440388068928442e-4,174.28863326865428,1233
25 km,% Pobres (2010),M2,-11.736969193428763,2.3070984360547393,3.6314121620861783e-7,112.97039666307668,1233
25 km,% Pobres (2010),M3,-12.703966289806225,2.8109252457092295,6.198692654946214e-6,82.96770990610244,1233
25 km,% Pobres (2010),M4,-13.79069611468405,2.8220790626342485,1.0253234394852484e-6,79.27914318788379,1231
50 km,PIB Total (2000),M1,0.02191237768573905,0.1483601918797927,0.8825817800262656,355.33672556497584,1233
50 km,PIB Total (2000),M2,0.15850780580633114,0.1929757666876697,0.4114258078079036,180.31584058402242,1233
50 km,PIB Total (2000),M3,-0.015414046313716234,0.214994866601104,0.9428446747587504,157.17614032152034,1233
50 km,PIB Total (2000),M4,-0.08969266843715741,0.21758178060638356,0.6801744509918264,153.65591889974098,1231
50 km,PIB Total (2010),M1,0.09747412090612077,0.15259292613266384,0.5229626005219832,355.33672556497584,1233
50 km,PIB Total (2010),M2,0.2736838698794915,0.20020408283255212,0.17161765187177846,180.31584058402242,1233
50 km,PIB Total (2010),M3,0.10395855824595968,0.2220800731039085,0.6397038186245549,157.17614032152034,1233
50 km,PIB Total (2010),M4,0.019087860269722576,0.2241509916817101,0.9321371631729525,153.65591889974098,1231
50 km,PIB p.c. (2000),M1,-0.12594919712123206,0.059608572372830494,0.03460610440845113,348.43716970872003,1229
50 km,PIB p.c. (2000),M2,0.18699690907002237,0.07329212799033545,0.010729373966711142,174.52453009965865,1229
50 km,PIB p.c. (2000),M3,0.12393512563785385,0.07699316436999241,0.10746555230978094,151.72282229460168,1229
50 km,PIB p.c. (2000),M4,0.11755096598416229,0.07806351415280996,0.13210889741931786,153.01103662498153,1228
50 km,PIB p.c. (2010),M1,-0.09949030919905251,0.0579634183586397,0.08608286789259223,355.33672556497584,1233
50 km,PIB p.c. (2010),M2,0.23029733558897336,0.07466538915019207,0.002039685893437282,180.31584058402242,1233
50 km,PIB p.c. (2010),M3,0.17482002698625995,0.08053946135765461,0.029960414942835856,157.17614032152034,1233
50 km,PIB p.c. (2010),M4,0.1817801635673375,0.08079880250205206,0.024462416127685183,153.65591889974098,1231
50 km,Pop. Total (1991),M1,0.11779431226719626,0.12263039539528303,0.33677156352818693,348.15089590941966,1228
