Escopo,Outcome,Tratamento,Modelo,Desc_Modelo,Coeficiente,DP,P_Valor,F_Stat,N_Obs
2_Pop,Pop. Total (2000),Distância,M2,+ Lag Espacial,-0.003509984573161297,0.005419176452883681,0.5171809160716476,51.49658168295517,1144
2_Pop,Pop. Total (2000),Distância,M3,+ Clima,-0.004013343453465056,0.004933014441831712,0.4158923877789109,69.05380668595322,1144
2_Pop,Pop. Total (2000),Distância,M4,+ Geografia/Solo (Completa),-0.0034019021056507295,0.004887848834936304,0.48643404231797804,71.4640631377188,1143
2_Pop,Pop. Total (2000),Dummy,M1,Base (Efeito Fixo UF),0.6373741429795304,0.15851885680949201,5.799846647502882e-5,152.9319798612134,1144
2_Pop,Pop. Total (2000),Dummy,M2,+ Lag Espacial,0.7724060781689244,0.26104164404709695,0.003087010566463766,58.98027326797992,1144
2_Pop,Pop. Total (2000),Dummy,M3,+ Clima,0.6900028632876102,0.2831359481012221,0.014809598683356073,50.7389283403097,1144
2_Pop,Pop. Total (2000),Dummy,M4,+ Geografia/Solo (Completa),0.6510294292750055,0.2840571916242835,0.021911667895306852,49.6961926147695,1143
2_Pop,Pop. Total (2000),Densidade,M1,Base (Efeito Fixo UF),0.04866927548353442,0.020995498954389673,0.020444897901489067,6.439039289571748,1144
2_Pop,Pop. Total (2000),Densidade,M2,+ Lag Espacial,0.06306033837147246,0.03662106834941065,0.08507516431734241,3.2120269305214864,1144
2_Pop,Pop. Total (2000),Densidade,M3,+ Clima,0.07241994545115191,0.054905597391478995,0.18717238532571723,1.948980939148129,1144
2_Pop,Pop. Total (2000),Densidade,M4,+ Geografia/Solo (Completa),0.07233980079619678,0.055170064669587696,0.1897852311897268,1.9427374202008099,1143
2_Pop,Pop. Total (2010),Distância,M1,Base (Efeito Fixo UF),-0.00507252259062075,0.0015607082793556866,0.0011534764055529667,527.5421805875112,1147
2_Pop,Pop. Total (2010),Distância,M2,+ Lag Espacial,-0.00209561260418141,0.0055948765092285095,0.7079883032714642,51.309999989849786,1147
2_Pop,Pop. Total (2010),Distância,M3,+ Clima,-0.0029390451244507808,0.005071797912428536,0.5622600615797146,69.08072741804395,1147
2_Pop,Pop. Total (2010),Distância,M4,+ Geografia/Solo (Completa),-0.0022685045010857764,0.005034446922712688,0.6522803412197173,71.45418178592121,1146
2_Pop,Pop. Total (2010),Dummy,M1,Base (Efeito Fixo UF),0.772549476475583,0.16571153130354788,3.1312990593779233e-6,155.01299472130762,1147
2_Pop,Pop. Total (2010),Dummy,M2,+ Lag Espacial,0.8672222350772705,0.27140510728753636,0.0013968289200303463,59.79712440336832,1147
2_Pop,Pop. Total (2010),Dummy,M3,+ Clima,0.7742831913246773,0.2938763199832244,0.008420555519511375,51.19071243877514,1147
2_Pop,Pop. Total (2010),Dummy,M4,+ Geografia/Solo (Completa),0.7289624427503696,0.2942837259082704,0.013246459003469102,50.21578243295201,1146
2_Pop,Pop. Total (2010),Densidade,M1,Base (Efeito Fixo UF),0.05336235140465614,0.023150338985845887,0.021164589639510956,6.151074784921649,1147
2_Pop,Pop. Total (2010),Densidade,M2,+ Lag Espacial,0.06732224957996161,0.0399867273576791,0.0922561192041178,3.0149122378827538,1147
2_Pop,Pop. Total (2010),Densidade,M3,+ Clima,0.07676650800592766,0.059697019857014054,0.1984656260208384,1.8287897435562888,1147
2_Pop,Pop. Total (2010),Densidade,M4,+ Geografia/Solo (Completa),0.07660646634165044,0.059952162911978565,0.20132235122813769,1.8226173461252555,1146
2_Pop,Tx. Urban. (2010),Distância,M1,Base (Efeito Fixo UF),2.9230329095412456e-4,2.8460387271583696e-4,0.3043954591316651,527.5421805875112,1147
2_Pop,Tx. Urban. (2010),Distância,M2,+ Lag Espacial,1.4779719409908215e-4,9.004042521488266e-4,0.8696167017142715,51.309999989849786,1147
2_Pop,Tx. Urban. (2010),Distância,M3,+ Clima,-4.064737909525778e-4,7.810900204361791e-4,0.6027896773136292,69.08072741804395,1147
2_Pop,Tx. Urban. (2010),Distância,M4,+ Geografia/Solo (Completa),-4.580614069685701e-4,7.708064170483054e-4,0.5523365051746016,71.45418178592121,1146
2_Pop,Tx. Urban. (2010),Dummy,M1,Base (Efeito Fixo UF),0.07579484586649529,0.032490327527124205,0.019656366337989395,155.01299472130762,1147
2_Pop,Tx. Urban. (2010),Dummy,M2,+ Lag Espacial,0.18882710184338397,0.053144109266619576,3.806988152750268e-4,59.79712440336832,1147
2_Pop,Tx. Urban. (2010),Dummy,M3,+ Clima,0.1755513960153302,0.05740661472478947,0.0022279408436762793,51.19071243877514,1147
2_Pop,Tx. Urban. (2010),Dummy,M4,+ Geografia/Solo (Completa),0.1811015275072572,0.05896156673251624,0.002129731536807844,50.21578243295201,1146
2_Pop,Tx. Urban. (2010),Densidade,M1,Base (Efeito Fixo UF),0.0024891694100567987,0.0020532808627834005,0.22540184649315953,6.151074784921649,1147
2_Pop,Tx. Urban. (2010),Densidade,M2,+ Lag Espacial,0.004361815959205273,0.003483537364986805,0.2105251836504458,3.0149122378827538,1147
2_Pop,Tx. Urban. (2010),Densidade,M3,+ Clima,0.0038358368894865413,0.004120645904899073,0.3519143819970698,1.8287897435562888,1147
2_Pop,Tx. Urban. (2010),Densidade,M4,+ Geografia/Solo (Completa),0.003937059514950595,0.004172289244446842,0.3453633857147187,1.8226173461252555,1146
3_PAM,Val. Prod. (2000),Distância,M1,Base (Efeito Fixo UF),-0.013775750604184818,0.003194048134593632,1.610949632691039e-5,361.6123350883799,884
3_PAM,Val. Prod. (2000),Distância,M2,+ Lag Espacial,3.5732164409743583e-4,0.008555259811216668,0.9666849912946298,42.43759916048425,884
3_PAM,Val. Prod. (2000),Distância,M3,+ Clima,-0.011953260386266634,0.007706331717783795,0.12087867702753985,55.96615260729763,884
