ano_tratamento,ano_outcome,escopo,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia
1933,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1933,densidade_buffer_sintetica_future_1933,17.86026932549314,11.3428134420241,1.5745890044636062,0.11561018634247998,3.2100917729397516,1241,
1934,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1934,densidade_buffer_sintetica_future_1934,21.37641799874234,17.590673526834472,1.2152131620277493,0.22451972789318034,1.8336802928174931,1240,
1936,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1936,densidade_buffer_sintetica_future_1936,19.186169698670845,14.168351397840468,1.3541568217735755,0.17593691112285426,2.3190801399911374,1240,
1937,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1937,densidade_buffer_sintetica_future_1937,19.199557924958434,14.28823159907981,1.3437322730823402,0.17928483090724381,2.291896026976808,1239,
1940,1939,PIB_Servicos,pibse_1939,densidade_buffer_real_future_1940,densidade_buffer_sintetica_future_1940,10.74013427519838,8.657978484021635,1.2404898320109456,0.21503297454105386,1.834574726422889,1238,
1941,1939,PIB_Servicos,pibse_1939,densidade_buffer_real_future_1941,densidade_buffer_sintetica_future_1941,11.933439177489518,10.595044288516972,1.1263227271662388,0.2602508046573232,1.4830996366385545,1237,
1944,1939,PIB_Servicos,pibse_1939,densidade_buffer_real_future_1944,densidade_buffer_sintetica_future_1944,9.454315235483634,6.560106745527643,1.4411831395775867,0.14978998004193778,2.611175819042266,1237,
1947,1939,PIB_Servicos,pibse_1939,densidade_buffer_real_future_1947,densidade_buffer_sintetica_future_1947,9.71767065066646,6.907290409480504,1.4068715914027021,0.15972078272095863,2.4860400190526035,1236,
1948,1939,PIB_Servicos,pibse_1939,densidade_buffer_real_future_1948,densidade_buffer_sintetica_future_1948,6.7690843881430265,3.5799541321076638,1.8908299208173913,0.058884596873232026,6.360784745810333,1235,*
1949,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1949,densidade_buffer_sintetica_future_1949,0.3395542156985545,5.303000873165415,0.06403057887785546,0.9489564369409336,3.777520529578398,1231,
1950,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1950,densidade_buffer_sintetica_future_1950,-2.6651312189332357,10.443528579081367,-0.2551945157953181,0.7986161282107584,1.3912535096676022,1232,
1951,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1951,densidade_buffer_sintetica_future_1951,-6.099294480132126,9.682800514115423,-0.6299101660971614,0.5288717984435904,2.4344367889174183,1234,
1953,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1953,densidade_buffer_sintetica_future_1953,-5.768515276946761,8.974328128883187,-0.6427796258509021,0.5204882821822501,3.1227386944854962,1235,
1955,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1955,densidade_buffer_sintetica_future_1955,-5.6489107532433875,10.05072868791514,-0.5620399205517866,0.5741924014100908,2.490269240586119,1235,
1956,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1956,densidade_buffer_sintetica_future_1956,-5.642814210211662,10.041539199641912,-0.5619471375875212,0.5742555972449286,2.4940487011435803,1235,
1957,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1957,densidade_buffer_sintetica_future_1957,-10.976824917172731,22.687605931592294,-0.48382473453876407,0.6285973747920514,0.6643256252274277,1235,
1958,1949,PIB_Servicos,pibse_1949,densidade_buffer_real_future_1958,densidade_buffer_sintetica_future_1958,11.101918143529765,8.3303289471278,1.3327106545243423,0.18287623048253074,9.16155749125601,1236,
1961,1959,PIB_Servicos,pibse_1959,densidade_buffer_real_future_1961,densidade_buffer_sintetica_future_1961,21.947152888511276,13.187468809574598,1.6642430177788794,0.09632130084847974,9.19997265523217,1236,*
1962,1959,PIB_Servicos,pibse_1959,densidade_buffer_real_future_1962,densidade_buffer_sintetica_future_1962,9.107182360731937,5.680302175905145,1.6032918810839012,0.10912970779315201,82.74247310806686,1236,
1966,1959,PIB_Servicos,pibse_1959,densidade_buffer_real_future_1966,densidade_buffer_sintetica_future_1966,-0.6508697040220848,6.907111806671111,-0.09423181819547989,0.9249405341927743,56.589984213543985,1235,
1969,1959,PIB_Servicos,pibse_1959,densidade_buffer_real_future_1969,densidade_buffer_sintetica_future_1969,3.271206231473392,7.100870264567655,0.46067680574256525,0.645112804107401,70.99004656613455,1236,
1972,1970,PIB_Servicos,pibse_1970,densidade_buffer_real_future_1972,densidade_buffer_sintetica_future_1972,0.20839557444144763,8.267674831044358,0.025206068054217785,0.9798947325473002,58.07935567239006,1235,
1985,1985,PIB_Servicos,pibse_1985,densidade_buffer_real_future_1985,densidade_buffer_sintetica_future_1985,-0.6803431114002523,14.671336702811596,-0.04637226485776665,0.9630211815183085,260.64123111756123,1234,
1996,1996,PIB_Servicos,pibse_1996,densidade_buffer_real_future_1996,densidade_buffer_sintetica_future_1996,11654.746375446819,20706.19963659032,0.5628626488682884,0.5736323443156965,0.10597645012733165,1233,
1920,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1920,densidade_buffer_sintetica_future_1920,10.81159576394919,5.815574593050392,1.8590761052001707,0.06325405776044628,3.867772805366704,1254,*
1921,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1921,densidade_buffer_sintetica_future_1921,10.979039886666063,6.033079106996376,1.8198070490960427,0.06903019140855166,3.716455844901842,1255,*
1922,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1922,densidade_buffer_sintetica_future_1922,10.821552798384372,5.878031875753786,1.8410163515822446,0.06585870749564789,3.8716328887329663,1255,*
1923,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1923,densidade_buffer_sintetica_future_1923,14.436777438896264,9.427177003484216,1.5313998489219558,0.12592732380685595,2.5334510248288993,1251,
1924,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1924,densidade_buffer_sintetica_future_1924,14.819117639778517,9.92739043248493,1.4927505612438308,0.13575852205121056,2.3995684051453265,1251,
1925,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1925,densidade_buffer_sintetica_future_1925,11.994560570072723,7.09309393777163,1.691019557234419,0.09108599419227119,3.1929827791043794,1251,*
1926,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1926,densidade_buffer_sintetica_future_1926,13.151229002789051,7.897966399472843,1.665141168955447,0.09613988190310081,3.245499022402053,1246,*
1927,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1927,densidade_buffer_sintetica_future_1927,13.385876203804209,8.828538234440533,1.5162052707191425,0.12972523705316388,2.760428767599318,1245,
1929,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1929,densidade_buffer_sintetica_future_1929,13.081692123651239,8.4603841435528,1.546229095710753,0.12230732458538786,2.9040358769819763,1245,
1931,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1931,densidade_buffer_sintetica_future_1931,13.526664289570396,9.212432203302424,1.468305436725106,0.14227778450150563,2.609421972358775,1245,
1932,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1932,densidade_buffer_sintetica_future_1932,12.981202334248426,8.503067175493436,1.5266493920759978,0.12710635609725737,2.837513908603549,1244,
1933,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1933,densidade_buffer_sintetica_future_1933,11.120059394394923,7.550264217585351,1.4728040071094661,0.141061402659546,3.2100917729397516,1241,
1934,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1934,densidade_buffer_sintetica_future_1934,12.428008468635921,10.959230862626642,1.1340219605208,0.2570079315738071,1.8336802928174931,1240,
1936,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1936,densidade_buffer_sintetica_future_1936,11.069850739573091,8.90598349031005,1.2429678037936391,0.2141183283411558,2.3190801399911374,1240,
1937,1920,PIB_Total,pib_1920,densidade_buffer_real_future_1937,densidade_buffer_sintetica_future_1937,11.008233905788728,8.934642931029924,1.2320843698808874,0.21815497439499318,2.291896026976808,1239,
1940,1939,PIB_Total,pib_1939,densidade_buffer_real_future_1940,densidade_buffer_sintetica_future_1940,2.449192678094086,3.9946637377911594,0.6131161066008428,0.5399139430202131,1.834574726422889,1238,
1941,1939,PIB_Total,pib_1939,densidade_buffer_real_future_1941,densidade_buffer_sintetica_future_1941,2.749190557555913,4.5356297449242025,0.6061320504903462,0.5445400112414275,1.4830996366385545,1237,
1944,1939,PIB_Total,pib_1939,densidade_buffer_real_future_1944,densidade_buffer_sintetica_future_1944,2.3992197134961417,3.4327138090746723,0.6989279756307093,0.4847304783355938,2.611175819042266,1237,
1947,1939,PIB_Total,pib_1939,densidade_buffer_real_future_1947,densidade_buffer_sintetica_future_1947,2.4013207468320084,3.528424938656334,0.6805644979219707,0.49627655012009453,2.4860400190526035,1236,
1948,1939,PIB_Total,pib_1939,densidade_buffer_real_future_1948,densidade_buffer_sintetica_future_1948,1.674456600098151,2.403280712032193,0.6967378349582164,0.48610004190447276,6.360784745810333,1235,
1949,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1949,densidade_buffer_sintetica_future_1949,4.907552757144705,4.117873705341185,1.1917686428263325,0.23358528113883414,3.777520529578398,1231,
1950,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1950,densidade_buffer_sintetica_future_1950,8.787103917386041,8.930411784730305,0.9839528264990759,0.325334922857334,1.3912535096676022,1232,
1951,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1951,densidade_buffer_sintetica_future_1951,6.047552825090909,6.071382098330928,0.9960751484828191,0.31941196258535326,2.4344367889174183,1234,
1953,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1953,densidade_buffer_sintetica_future_1953,5.651876368699295,5.577654093606689,1.013307077464284,0.31111508531687054,3.1227386944854962,1235,
1955,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1955,densidade_buffer_sintetica_future_1955,6.816466922732163,6.601961646125237,1.0324911424974457,0.3020473967320805,2.490269240586119,1235,
1956,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1956,densidade_buffer_sintetica_future_1956,6.806674220535156,6.59404326827887,1.032245914017453,0.3021621858131741,2.4940487011435803,1235,
1957,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1957,densidade_buffer_sintetica_future_1957,13.991510961473153,17.079106513699614,0.8192179696432119,0.41282259014157585,0.6643256252274277,1235,
1958,1949,PIB_Total,pib_1949,densidade_buffer_real_future_1958,densidade_buffer_sintetica_future_1958,10.764422088976414,7.31893366791803,1.4707637174198491,0.14161352404467722,9.16155749125601,1236,
1961,1959,PIB_Total,pib_1959,densidade_buffer_real_future_1961,densidade_buffer_sintetica_future_1961,7.2948658923989775,7.7055828299821245,0.9466987836422881,0.3439802189757364,9.19997265523217,1236,
1962,1959,PIB_Total,pib_1959,densidade_buffer_real_future_1962,densidade_buffer_sintetica_future_1962,1.9832125379789027,5.526043352617338,0.35888472301607627,0.7197435791678454,82.74247310806686,1236,
1966,1959,PIB_Total,pib_1959,densidade_buffer_real_future_1966,densidade_buffer_sintetica_future_1966,-5.7416734739393664,7.672132799030335,-0.7483803558073245,0.45437548657741467,56.589984213543985,1235,
1969,1959,PIB_Total,pib_1959,densidade_buffer_real_future_1969,densidade_buffer_sintetica_future_1969,-4.438358808715159,7.817102804090584,-0.5677754175616861,0.5702922007346485,70.99004656613455,1236,
1972,1970,PIB_Total,pib_1970,densidade_buffer_real_future_1972,densidade_buffer_sintetica_future_1972,1.3237709381522942,7.605887792904826,0.17404555184040155,0.8618587048015097,57.93585726251923,1235,
1985,1985,PIB_Total,pib_1985,densidade_buffer_real_future_1985,densidade_buffer_sintetica_future_1985,5.080645443863275,12.979064880903545,0.391449267761853,0.6955339335233941,260.8603114436077,1234,
1996,1996,PIB_Total,pib_1996,densidade_buffer_real_future_1996,densidade_buffer_sintetica_future_1996,-4559.028320936195,14302.49982043305,-0.3187574464726095,0.7499652812960161,0.10597645012733165,1233,
1940,1940,Populacao,pop_total_1940,densidade_buffer_real_future_1940,densidade_buffer_sintetica_future_1940,5.005611521024477,4.734928098441201,1.0571673776149606,0.29064465908263637,1.834574726422889,1238,
1941,1940,Populacao,pop_total_1940,densidade_buffer_real_future_1941,densidade_buffer_sintetica_future_1941,5.6302572868782494,5.75456089149022,0.9783991155961544,0.32807125219413247,1.4830996366385545,1237,
1944,1940,Populacao,pop_total_1940,densidade_buffer_real_future_1944,densidade_buffer_sintetica_future_1944,4.497832012323771,3.744952815934416,1.2010383664076958,0.2299698227412391,2.611175819042266,1237,
1947,1940,Populacao,pop_total_1940,densidade_buffer_real_future_1947,densidade_buffer_sintetica_future_1947,4.564102223416834,3.8895275426866402,1.1734335785842616,0.24085157803135876,2.4860400190526035,1236,
1948,1940,Populacao,pop_total_1940,densidade_buffer_real_future_1948,densidade_buffer_sintetica_future_1948,3.177132143295858,2.202370622801902,1.4425964959766144,0.1493916920031856,6.360784745810333,1235,
1949,1940,Populacao,pop_total_1940,densidade_buffer_real_future_1949,densidade_buffer_sintetica_future_1949,3.48271894760694,3.042601124078157,1.144651830976408,0.25257940682832847,3.777520529578398,1231,
1950,1950,Populacao,pop_total_1950,densidade_buffer_real_future_1950,densidade_buffer_sintetica_future_1950,7.791334662877055,7.577961401846909,1.0281570794195576,0.3040809173266452,1.3912535096676022,1232,
1951,1950,Populacao,pop_total_1950,densidade_buffer_real_future_1951,densidade_buffer_sintetica_future_1951,7.1178411080916995,5.465947291531826,1.3022154675949924,0.1930895385095053,2.4344367889174183,1234,
