grupo,ano_tratamento,tipo_outcome,outcome_var,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
Semiarido,1985,persistencia,adh_idhm_2010,0.13139375585211918,0.058519049808114586,2.2453159489595707,0.024995983902768866,11.953553496694159,895,**,+0.1314**
Semiarido,1985,persistencia,adh_gini_2010,-0.09637609371724912,0.0781376862729541,-1.2334137125660951,0.2177515469807217,11.953553496694159,895,,-0.0964
Semiarido,1985,persistencia,log(valor_producao_mil_reais_2010),8.044260968495756,3.23287170570486,2.488271017467386,0.01302100638529539,11.953553496694159,895,**,+8.0443**
Semiarido,1985,contemporaneo,log(pib_1985),6.783300335031964,2.3940622600361965,2.8333850995710552,0.004711568767320005,11.826501313414694,893,***,+6.7833***
Semiarido,1985,contemporaneo,log(pop_total_1991),5.173667421757825,1.9173947151116826,2.698279796529258,0.007103667846423807,11.953553496694159,895,***,+5.1737***
Semiarido,1985,contemporaneo,adh_idhm_1991,0.21876931740802388,0.09542835596362095,2.2924980232439798,0.022112660214947944,11.953553496694159,895,**,+0.2188**
Semiarido,1985,contemporaneo,log(valor_producao_mil_reais_1985),3.492249909459554,1.8279571755323791,1.9104659322461763,0.05639874313482873,11.953553496694159,895,*,+3.4922*
Nao_Semiarido,1985,persistencia,log(pib_2010),0.28369341306841156,1.1132630526817264,0.2548305293928742,0.7990176859709193,24.527582627843465,337,,+0.2837
Nao_Semiarido,1985,persistencia,log(pop_total_2010),-0.6824327243248509,0.899880265033037,-0.7583594738571103,0.4487939716775625,24.527582627843465,337,,-0.6824
Nao_Semiarido,1985,persistencia,adh_idhm_2010,0.006758692950938657,0.03893180177555625,0.17360339472349245,0.8622869293102449,24.527582627843465,337,,+0.0068
Nao_Semiarido,1985,persistencia,adh_gini_2010,-0.08523356136333594,0.043915722263305645,-1.9408438930436072,0.05315511835276767,24.527582627843465,337,*,-0.0852*
Nao_Semiarido,1985,persistencia,log(valor_producao_mil_reais_2010),2.2910731901701507,1.4863926004775165,1.5413647709455252,0.12421630186854431,24.527582627843465,337,,+2.2911
Nao_Semiarido,1985,contemporaneo,log(pib_1985),0.6590982020417262,1.270297672622402,0.5188533492949602,0.6042216325313088,24.527582627843465,337,,+0.6591
Nao_Semiarido,1985,contemporaneo,log(pop_total_1991),-0.19788518232883978,0.7866124357569009,-0.25156630296396093,0.8015377848010306,24.527582627843465,337,,-0.1979
