ano_tratamento,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_1estagio,n_observacoes
1920,densidade_buffer_real_20km_1920,densidade_buffer_sintetica_20km_1920,0.5264608830765372,0.030487378581674537,17.268158417299418,5.117780000008608e-60,298.1892951249487,0.5441865625378228,1254
1921,densidade_buffer_real_20km_1921,densidade_buffer_sintetica_20km_1921,0.5267075746083463,0.0305807237474916,17.223515668151894,9.434728273911317e-60,296.64949197107376,0.535182220427098,1255
1922,densidade_buffer_real_20km_1922,densidade_buffer_sintetica_20km_1922,0.5217903290745138,0.03067278267421936,17.01150934418094,1.790902177592395e-58,289.3914501671554,0.5320940084690863,1255
1923,densidade_buffer_real_20km_1923,densidade_buffer_sintetica_20km_1923,0.5065702999675674,0.03083750006907711,16.427087112536093,5.5218781761908514e-55,269.8491910028494,0.5165201872685773,1251
1924,densidade_buffer_real_20km_1924,densidade_buffer_sintetica_20km_1924,0.5052201347826374,0.030886514063022293,16.357305125200032,1.417170270363422e-54,267.56143095889524,0.5147672369416167,1251
1925,densidade_buffer_real_20km_1925,densidade_buffer_sintetica_20km_1925,0.47823438324138123,0.03003166320909634,15.924338918948985,4.636075032440059e-52,253.58457000555333,0.5072627247446351,1251
1926,densidade_buffer_real_20km_1926,densidade_buffer_sintetica_20km_1926,0.4127116308388029,0.029658505007868034,13.915456316133117,5.561071671680483e-41,193.63992448620905,0.47528526763500034,1246
1927,densidade_buffer_real_20km_1927,densidade_buffer_sintetica_20km_1927,0.4104869072888778,0.02947778337131119,13.925297642575732,4.963269008194066e-41,193.91391443432522,0.4749205295343145,1245
1929,densidade_buffer_real_20km_1929,densidade_buffer_sintetica_20km_1929,0.4150481411666458,0.02946197612704402,14.08758663631055,6.925776460925655e-42,198.46009723555562,0.4761186944194653,1245
1931,densidade_buffer_real_20km_1931,densidade_buffer_sintetica_20km_1931,0.40820892499783473,0.029670201379531785,13.75821214612452,3.70604663068266e-40,189.2884014577683,0.4797556563181009,1245
1932,densidade_buffer_real_20km_1932,densidade_buffer_sintetica_20km_1932,0.4133444803269455,0.029679780881075722,13.926803637236425,4.899149504441465e-41,193.95585955014172,0.48009778907187395,1244
1933,densidade_buffer_real_20km_1933,densidade_buffer_sintetica_20km_1933,0.3977846666274535,0.029217771271457815,13.614476714589124,2.1002503920171106e-39,185.35397621208946,0.46937580723653194,1241
1934,densidade_buffer_real_20km_1934,densidade_buffer_sintetica_20km_1934,0.40152834278084365,0.029286795271797568,13.710217832113067,6.745374225782695e-40,187.9700730039911,0.4786838588474125,1240
1936,densidade_buffer_real_20km_1936,densidade_buffer_sintetica_20km_1936,0.40859273238155785,0.029383188407968337,13.90566356205077,6.456847654136131e-41,193.3674791009465,0.4733306350927283,1240
1937,densidade_buffer_real_20km_1937,densidade_buffer_sintetica_20km_1937,0.40713492653193173,0.02941903312352034,13.83916748121915,1.4457553265629017e-40,191.52255657323357,0.4718461247589846,1239
1940,densidade_buffer_real_20km_1940,densidade_buffer_sintetica_20km_1940,0.41360650961359247,0.029349881397351413,14.092271924850676,6.795677874813196e-42,198.5921280039346,0.4749220720271805,1238
1941,densidade_buffer_real_20km_1941,densidade_buffer_sintetica_20km_1941,0.4191546206353352,0.029377968740742954,14.267651529427525,7.999350938980828e-43,203.5658801651756,0.47795643994746406,1237
1944,densidade_buffer_real_20km_1944,densidade_buffer_sintetica_20km_1944,0.41414071719777085,0.029527430332245457,14.025626765953557,1.53626694482673e-41,196.71820617783285,0.4642124275366385,1237
1947,densidade_buffer_real_20km_1947,densidade_buffer_sintetica_20km_1947,0.41594740762310234,0.029371681511072383,14.161511572509074,2.952801974586854e-42,200.54841001830843,0.46192798126535084,1236
1948,densidade_buffer_real_20km_1948,densidade_buffer_sintetica_20km_1948,0.36073622696399765,0.02953574870286387,12.213546052043016,1.919629463214722e-32,149.17070716537555,0.42469131553265693,1235
1949,densidade_buffer_real_20km_1949,densidade_buffer_sintetica_20km_1949,0.33021316981649657,0.028157584919197932,11.72732571930756,3.671364580005607e-30,137.53016852673258,0.40586593170957275,1231
1950,densidade_buffer_real_20km_1950,densidade_buffer_sintetica_20km_1950,0.3179513425270782,0.02832078055462911,11.226785996020444,6.773794917802585e-28,126.04072380044076,0.39625175212924246,1232
1951,densidade_buffer_real_20km_1951,densidade_buffer_sintetica_20km_1951,0.315467750961678,0.028485512271811415,11.07467360781352,3.1788996125492858e-27,122.64839551960131,0.3820602263421118,1234
1953,densidade_buffer_real_20km_1953,densidade_buffer_sintetica_20km_1953,0.3165894295118335,0.02848498780911744,11.114255397732695,2.1218786005468025e-27,123.52667304603034,0.3826258506747837,1235
1955,densidade_buffer_real_20km_1955,densidade_buffer_sintetica_20km_1955,0.31630056929968453,0.02846559238140499,11.111680553196791,2.1781689176847048e-27,123.46944471629175,0.38286224600790875,1235
1956,densidade_buffer_real_20km_1956,densidade_buffer_sintetica_20km_1956,0.3170119653444818,0.028433088376393807,11.149403158317362,1.4835098180174343e-27,124.30919078669717,0.3832932827585108,1235
1957,densidade_buffer_real_20km_1957,densidade_buffer_sintetica_20km_1957,0.31896549063547813,0.02849959432116833,11.191930911050324,9.609494103964802e-28,125.25931751772374,0.3865397844631583,1235
1958,densidade_buffer_real_20km_1958,densidade_buffer_sintetica_20km_1958,0.32245265277589946,0.028808325091925425,11.193037142804199,9.47896090336988e-28,125.28408048019439,0.37633244002356037,1236
1961,densidade_buffer_real_20km_1961,densidade_buffer_sintetica_20km_1961,0.3231663243172457,0.028799539461900746,11.221232365356615,7.1022075920816e-28,125.9160557973268,0.3767666920938908,1236
1962,densidade_buffer_real_20km_1962,densidade_buffer_sintetica_20km_1962,0.3185461638197581,0.02917100831749934,10.919957251826158,1.5062658375985964e-26,119.2454663817107,0.3699802350214686,1236
