Outcome,Modelo,Coef,DP,P,F_Stat,N
Pop. Total (2010),M4,0.7289624427503696,0.2942837259082704,0.013246459003469102,1,1146
Pop. Total (2010),M4,0.7289624427503696,0.2942837259082704,0.013246459003469102,1130,1146
Tx. Urban. (2010),M1,0.07579484586649529,0.032490327527124205,0.019656366337989395,155.01299472130762,1147
Tx. Urban. (2010),M1,0.07579484586649529,0.032490327527124205,0.019656366337989395,1.889132762411624e-33,1147
Tx. Urban. (2010),M1,0.07579484586649529,0.032490327527124205,0.019656366337989395,1,1147
Tx. Urban. (2010),M1,0.07579484586649529,0.032490327527124205,0.019656366337989395,1137,1147
Tx. Urban. (2010),M2,0.18882710184338397,0.053144109266619576,3.806988152750268e-4,59.79712440336832,1147
Tx. Urban. (2010),M2,0.18882710184338397,0.053144109266619576,3.806988152750268e-4,2.3072951954810944e-14,1147
Tx. Urban. (2010),M2,0.18882710184338397,0.053144109266619576,3.806988152750268e-4,1,1147
Tx. Urban. (2010),M2,0.18882710184338397,0.053144109266619576,3.806988152750268e-4,1136,1147
Tx. Urban. (2010),M3,0.1755513960153302,0.05740661472478947,0.0022279408436762793,51.19071243877514,1147
Tx. Urban. (2010),M3,0.1755513960153302,0.05740661472478947,0.0022279408436762793,1.501867660726048e-12,1147
Tx. Urban. (2010),M3,0.1755513960153302,0.05740661472478947,0.0022279408436762793,1,1147
Tx. Urban. (2010),M3,0.1755513960153302,0.05740661472478947,0.0022279408436762793,1133,1147
Tx. Urban. (2010),M4,0.1811015275072572,0.05896156673251624,0.002129731536807844,50.21578243295201,1146
Tx. Urban. (2010),M4,0.1811015275072572,0.05896156673251624,0.002129731536807844,2.4195958924039067e-12,1146
Tx. Urban. (2010),M4,0.1811015275072572,0.05896156673251624,0.002129731536807844,1,1146
Tx. Urban. (2010),M4,0.1811015275072572,0.05896156673251624,0.002129731536807844,1130,1146
Val. Prod. (2000),M1,2.039559886107607,0.36645445883751554,2.6116626417049815e-8,87.17341957994765,884
Val. Prod. (2000),M1,2.039559886107607,0.36645445883751554,2.6116626417049815e-8,7.990809021860862e-20,884
Val. Prod. (2000),M1,2.039559886107607,0.36645445883751554,2.6116626417049815e-8,1,884
Val. Prod. (2000),M1,2.039559886107607,0.36645445883751554,2.6116626417049815e-8,875,884
Val. Prod. (2000),M2,2.2054384071626125,0.5537698771591137,6.816828065647762e-5,36.70151084573293,884
Val. Prod. (2000),M2,2.2054384071626125,0.5537698771591137,6.816828065647762e-5,2.043944999494844e-9,884
Val. Prod. (2000),M2,2.2054384071626125,0.5537698771591137,6.816828065647762e-5,1,884
Val. Prod. (2000),M2,2.2054384071626125,0.5537698771591137,6.816828065647762e-5,874,884
Val. Prod. (2000),M3,1.9227636363702487,0.6085367706107211,0.0015795838476151403,27.43047806600608,884
Val. Prod. (2000),M3,1.9227636363702487,0.6085367706107211,0.0015795838476151403,2.0430525145581803e-7,884
Val. Prod. (2000),M3,1.9227636363702487,0.6085367706107211,0.0015795838476151403,1,884
Val. Prod. (2000),M3,1.9227636363702487,0.6085367706107211,0.0015795838476151403,871,884
Val. Prod. (2000),M4,1.7260122763328012,0.5989882972243883,0.003957295832938801,25.672799134737275,883
Val. Prod. (2000),M4,1.7260122763328012,0.5989882972243883,0.003957295832938801,4.943021004632263e-7,883
Val. Prod. (2000),M4,1.7260122763328012,0.5989882972243883,0.003957295832938801,1,883
Val. Prod. (2000),M4,1.7260122763328012,0.5989882972243883,0.003957295832938801,868,883
