ano,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_estatistica,n_observacoes,n_pontas_excluidas,significancia,coeficiente_sig,instrumento_forte
1917,densidade_buffer_real_1917,densidade_buffer_sintetica_1917,0.280420381064291,0.048868995290575076,5.738206390307623,1.1998359613993576e-8,32.927012577767236,1257,66,***,+0.2804***,TRUE
1918,densidade_buffer_real_1918,densidade_buffer_sintetica_1918,0.27895411801037223,0.04890648352675079,5.7038269344756785,1.4613766827888534e-8,32.53364169845022,1257,66,***,+0.2790***,TRUE
1919,densidade_buffer_real_1919,densidade_buffer_sintetica_1919,0.2707023702711512,0.047610457643046236,5.685775429858501,1.6206685236956534e-8,32.32804223878262,1255,68,***,+0.2707***,TRUE
1920,densidade_buffer_real_1920,densidade_buffer_sintetica_1920,0.27122581156429226,0.04751339073595772,5.708407826996673,1.4243143512737005e-8,32.58591991931688,1254,69,***,+0.2712***,TRUE
1921,densidade_buffer_real_1921,densidade_buffer_sintetica_1921,0.2708781650540273,0.047490359698585394,5.703855830388583,1.4616451247775997e-8,32.53397133385783,1255,68,***,+0.2709***,TRUE
1922,densidade_buffer_real_1922,densidade_buffer_sintetica_1922,0.27032754034832146,0.047496442585828726,5.691532368131034,1.5682912976068117e-8,32.39354069748325,1255,68,***,+0.2703***,TRUE
1923,densidade_buffer_real_1923,densidade_buffer_sintetica_1923,0.2669998901723055,0.04796099489319523,5.567021509184494,3.1724452473011095e-8,30.991728483722802,1251,72,***,+0.2670***,TRUE
1924,densidade_buffer_real_1924,densidade_buffer_sintetica_1924,0.26604817604317343,0.047987764150444076,5.544083596166283,3.606155432681634e-8,30.736862921280068,1251,72,***,+0.2660***,TRUE
1925,densidade_buffer_real_1925,densidade_buffer_sintetica_1925,0.25941249676709033,0.046047195659537445,5.63362204910648,2.180958855073486e-8,31.737697392178692,1251,72,***,+0.2594***,TRUE
1926,densidade_buffer_real_1926,densidade_buffer_sintetica_1926,0.22565374636151486,0.04362415305239955,5.172679136955824,2.689599446805276e-7,26.756609453898047,1246,77,***,+0.2257***,TRUE
1927,densidade_buffer_real_1927,densidade_buffer_sintetica_1927,0.22415558315936915,0.04259761323497933,5.2621629743166505,1.6769791880046473e-7,27.690359168269058,1245,78,***,+0.2242***,TRUE
1929,densidade_buffer_real_1929,densidade_buffer_sintetica_1929,0.22544427028803757,0.04259528116634641,5.292705297744487,1.4248359911006494e-7,28.012729368772554,1245,78,***,+0.2254***,TRUE
1931,densidade_buffer_real_1931,densidade_buffer_sintetica_1931,0.22372803660165028,0.04263970239602586,5.246941794380403,1.818262056200889e-7,27.53039819361584,1245,78,***,+0.2237***,TRUE
1932,densidade_buffer_real_1932,densidade_buffer_sintetica_1932,0.22492314476469902,0.04261960402985272,5.27745740216527,1.5459503318719577e-7,27.851556631669002,1244,79,***,+0.2249***,TRUE
1933,densidade_buffer_real_1933,densidade_buffer_sintetica_1933,0.19790830961248077,0.03942064167934474,5.0204233412105745,5.913683740010879e-7,25.20465052497195,1241,82,***,+0.1979***,TRUE
1934,densidade_buffer_real_1934,densidade_buffer_sintetica_1934,0.197442662993779,0.039296162469644416,5.024476961237625,5.793239813426977e-7,25.245368734007684,1240,83,***,+0.1974***,TRUE
1936,densidade_buffer_real_1936,densidade_buffer_sintetica_1936,0.19930358281691984,0.03927672484455234,5.074343230137305,4.486106478949588e-7,25.748959217240294,1240,83,***,+0.1993***,TRUE
1937,densidade_buffer_real_1937,densidade_buffer_sintetica_1937,0.19888645817173384,0.039282423346768944,5.0629885131079275,4.7565490738069617e-7,25.633852683862823,1239,84,***,+0.1989***,TRUE
1940,densidade_buffer_real_1940,densidade_buffer_sintetica_1940,0.19910945752465445,0.039301215773302096,5.066241682526078,4.6781852247661586e-7,25.66680478576467,1238,85,***,+0.1991***,TRUE
1941,densidade_buffer_real_1941,densidade_buffer_sintetica_1941,0.19866784178383567,0.03930980508577128,5.053900454361352,4.984956665222722e-7,25.541909802593878,1237,86,***,+0.1987***,TRUE
1944,densidade_buffer_real_1944,densidade_buffer_sintetica_1944,0.19643905607602824,0.03929235894435473,4.999421295988423,6.584032565670083e-7,24.99421329478256,1237,86,***,+0.1964***,TRUE
1947,densidade_buffer_real_1947,densidade_buffer_sintetica_1947,0.19612035280520212,0.0392020408680195,5.002809763539492,6.47229246613168e-7,25.02810553016607,1236,87,***,+0.1961***,TRUE
1948,densidade_buffer_real_1948,densidade_buffer_sintetica_1948,0.1809470850928978,0.03820108636871943,4.73669998141897,2.4256534832970657e-6,22.43632671397447,1235,88,***,+0.1809***,TRUE
1949,densidade_buffer_real_1949,densidade_buffer_sintetica_1949,0.17258450180668153,0.03685218939250898,4.6831546416008365,3.140788683975056e-6,21.931937397147458,1231,92,***,+0.1726***,TRUE
1950,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.15946109562267724,0.03632788032184084,4.389496282468398,1.2341776290571526e-5,19.26767761380389,1232,91,***,+0.1595***,TRUE
1951,densidade_buffer_real_1951,densidade_buffer_sintetica_1951,0.1543332979422419,0.03601418729271018,4.285347235184767,1.9675160790347715e-5,18.364200926105724,1234,89,***,+0.1543***,TRUE
1953,densidade_buffer_real_1953,densidade_buffer_sintetica_1953,0.1577342020803666,0.0362941049624654,4.346000603775517,1.501156242463848e-5,18.887721248017158,1235,88,***,+0.1577***,TRUE
1955,densidade_buffer_real_1955,densidade_buffer_sintetica_1955,0.15647784896631978,0.036322786799637116,4.30798027225937,1.779219868363088e-5,18.558694026175917,1235,88,***,+0.1565***,TRUE
1956,densidade_buffer_real_1956,densidade_buffer_sintetica_1956,0.15647937484189725,0.03632297641639378,4.307999791869282,1.7790652465953174e-5,18.558862206745776,1235,88,***,+0.1565***,TRUE
1957,densidade_buffer_real_1957,densidade_buffer_sintetica_1957,0.1603495626715996,0.03626726745037162,4.421330139940183,1.0678393640906084e-5,19.54816020634348,1235,88,***,+0.1603***,TRUE
1958,densidade_buffer_real_1958,densidade_buffer_sintetica_1958,0.16182338426616136,0.0362263410029554,4.467008805911686,8.663294323135284e-6,19.954167672092545,1236,87,***,+0.1618***,TRUE
1961,densidade_buffer_real_1961,densidade_buffer_sintetica_1961,0.1620078528512715,0.036225502305053996,4.472204456600979,8.45869888991769e-6,20.000612701641657,1236,87,***,+0.1620***,TRUE
1962,densidade_buffer_real_1962,densidade_buffer_sintetica_1962,0.1613353803328906,0.036280075091378094,4.446941742169429,9.498853359187089e-6,19.775290858248876,1236,87,***,+0.1613***,TRUE
1966,densidade_buffer_real_1966,densidade_buffer_sintetica_1966,0.16020795684530784,0.03614697202183084,4.432126617647276,1.016532418172175e-5,19.64374635485748,1235,88,***,+0.1602***,TRUE
1969,densidade_buffer_real_1969,densidade_buffer_sintetica_1969,0.15908426459983321,0.03619487997931601,4.395214590868758,1.20230077901766e-5,19.31791129978562,1236,87,***,+0.1591***,TRUE
1972,densidade_buffer_real_1972,densidade_buffer_sintetica_1972,0.1604760786923908,0.036140127973543996,4.44038490427775,9.788874845151793e-6,19.717018098137725,1235,88,***,+0.1605***,TRUE
1985,densidade_buffer_real_1985,densidade_buffer_sintetica_1985,0.1586033047621004,0.03603654321872327,4.401179763537805,1.1703712884394478e-5,19.37038331097469,1234,89,***,+0.1586***,TRUE
1996,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,0.1586859539776235,0.035994642932665376,4.4085991983439,1.1316752796765925e-5,19.43574689163848,1233,90,***,+0.1587***,TRUE
2003,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,0.15868762612778337,0.03599452582154215,4.408659997760307,1.1313626639167144e-5,19.436282975851913,1233,90,***,+0.1587***,TRUE
