ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1860,2015,PIB_Indústria,pibi (2015),pibi_2015,densidade_buffer_real_5km_1860,dens_placebo_5km,249.9565271228093,164.49208507106772,1.5195656801044088,0.12886351508303376,2.2703790099053633,0.15319501639187127,1316,
1860,2015,PIB_Indústria,pibi (2015),pibi_2015,densidade_buffer_real_10km_1860,dens_placebo_10km,59.72113792136537,32.307656535023675,1.8485134586169576,0.06475523455293085,4.35832938386492,0.15283349185229378,1316,*
1860,2015,PIB_Indústria,pibi (2015),pibi_2015,densidade_buffer_real_20km_1860,dens_placebo_20km,-27.516058867396854,39.931717497604446,-0.6890777705478753,0.4908973862237547,4.14069662040988,0.1529723941702229,1316,
1860,2015,PIB_Indústria,pibi (2015),pibi_2015,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.117058048134116,0.8838593385906474,-1.2638414274326888,0.2065136985182575,193.0440423226096,0.1501445422937543,1316,
1860,2016,PIB_Indústria,pibi (2016),pibi_2016,densidade_buffer_real_5km_1860,dens_placebo_5km,259.1653201223547,173.34363455902093,1.4950956854092772,0.13513235463649903,2.2703790099053633,0.1508515205665768,1316,
1860,2016,PIB_Indústria,pibi (2016),pibi_2016,densidade_buffer_real_10km_1860,dens_placebo_10km,63.91996158667685,34.61409320710448,1.8466455615124244,0.06502586020198865,4.35832938386492,0.15073352704875198,1316,*
1860,2016,PIB_Indústria,pibi (2016),pibi_2016,densidade_buffer_real_20km_1860,dens_placebo_20km,-29.025913876793922,42.244005296732155,-0.6871013691270241,0.4921414971106043,4.14069662040988,0.15076181983609083,1316,
1860,2016,PIB_Indústria,pibi (2016),pibi_2016,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.1424526625772682,0.8975007080315074,-1.2729267535431978,0.20327180157762834,193.0440423226096,0.14749180658517147,1316,
1860,2017,PIB_Indústria,pibi (2017),pibi_2017,densidade_buffer_real_5km_1860,dens_placebo_5km,281.43585110012856,183.3820925486605,1.5346964754775576,0.12510191300047335,2.2703790099053633,0.13464016006769097,1316,
1860,2017,PIB_Indústria,pibi (2017),pibi_2017,densidade_buffer_real_10km_1860,dens_placebo_10km,71.69046900068813,37.57575440453432,1.9078916747453813,0.056625517445078294,4.35832938386492,0.1348476524189468,1316,*
1860,2017,PIB_Indústria,pibi (2017),pibi_2017,densidade_buffer_real_20km_1860,dens_placebo_20km,-33.12248549514342,47.46561046304408,-0.6978206994921519,0.4854142167439378,4.14069662040988,0.13507628419510387,1316,
1860,2017,PIB_Indústria,pibi (2017),pibi_2017,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.4703785387713242,0.9355137682962221,-1.5717337238651328,0.11625584184081214,193.0440423226096,0.13136889182431288,1316,
1860,2018,PIB_Indústria,pibi (2018),pibi_2018,densidade_buffer_real_5km_1860,dens_placebo_5km,258.99245950109895,175.698685870373,1.474071693923644,0.14070457960118365,2.2703790099053633,0.132382342003322,1316,
1860,2018,PIB_Indústria,pibi (2018),pibi_2018,densidade_buffer_real_10km_1860,dens_placebo_10km,67.84816100970582,37.025437611244605,1.8324742497871347,0.06710960072210329,4.35832938386492,0.13281964136297075,1316,*
1860,2018,PIB_Indústria,pibi (2018),pibi_2018,densidade_buffer_real_20km_1860,dens_placebo_20km,-33.52551067083352,47.88862043052937,-0.7000725928087238,0.4840073259926172,4.14069662040988,0.13374712883346584,1316,
1860,2018,PIB_Indústria,pibi (2018),pibi_2018,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.533861975881403,0.9306789419843451,-1.6481107573047504,0.09957177160939652,193.0440423226096,0.13012496736871815,1316,*
1860,2019,PIB_Indústria,pibi (2019),pibi_2019,densidade_buffer_real_5km_1860,dens_placebo_5km,260.98559045218116,174.73349912912647,1.493620809706988,0.13551760439049557,2.2703790099053633,0.12527201625570528,1316,
1860,2019,PIB_Indústria,pibi (2019),pibi_2019,densidade_buffer_real_10km_1860,dens_placebo_10km,66.63133858031645,36.0553985565053,1.8480266824923082,0.06482567011040476,4.35832938386492,0.12547568693999522,1316,*
1860,2019,PIB_Indústria,pibi (2019),pibi_2019,densidade_buffer_real_20km_1860,dens_placebo_20km,-32.272278044115794,45.77884420822783,-0.7049605249386244,0.4809611799381164,4.14069662040988,0.12617453052777539,1316,
1860,2019,PIB_Indústria,pibi (2019),pibi_2019,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.502839579836756,0.9202162964374853,-1.6331373239691926,0.10268245772019523,193.0440423226096,0.1227802436928801,1316,
1860,2020,PIB_Indústria,pibi (2020),pibi_2020,densidade_buffer_real_5km_1860,dens_placebo_5km,249.89775640059656,169.0955962917275,1.4778489912266395,0.13969061227363588,2.2703790099053633,0.1135776746932523,1316,
1860,2020,PIB_Indústria,pibi (2020),pibi_2020,densidade_buffer_real_10km_1860,dens_placebo_10km,63.03625240414339,34.564756749195915,1.8237146253201915,0.06842491170569882,4.35832938386492,0.11365910095955822,1316,*
