ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1873,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_20km_1873,densidade_buffer_sintetica_20km_1873,0.12939503473127545,0.026473428371629745,4.887732443068902,1.1476090296134558e-6,743.6737471207344,0.26874924647696175,1312,***
1873,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_50km_1873,densidade_buffer_sintetica_50km_1873,0.07407253633579104,0.01344517623280202,5.509227625821463,4.343229927611738e-8,811.6567106857481,0.27337039588525436,1312,***
1875,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1875,densidade_buffer_sintetica_5km_1875,0.6564528089021024,0.15611397118506765,4.204958748528027,2.791027913482139e-5,73.55264406532451,0.1553337931120099,1310,***
1875,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1875,densidade_buffer_sintetica_10km_1875,0.32433937844264543,0.047311740694918024,6.855367688415748,1.0985354003364963e-11,224.3110151407695,0.16784979018867718,1310,***
1875,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1875,densidade_buffer_sintetica_20km_1875,0.14995149520734066,0.03060415616092926,4.899710170698187,1.0812081727189532e-6,534.4522919242827,0.17620956957233758,1310,***
1875,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1875,densidade_buffer_sintetica_50km_1875,0.0666812662699905,0.012524821155201279,5.323929614938994,1.1962208200185483e-7,803.9529442566296,0.17455997540918577,1310,***
1875,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1875,densidade_buffer_sintetica_5km_1875,0.9496960187662118,0.40926090435503304,2.3205148809971656,0.020468006443778292,73.55264406532451,0.1942429511815671,1310,**
1875,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1875,densidade_buffer_sintetica_10km_1875,0.4004762735960113,0.0869141556601729,4.607722074202045,4.473246199552595e-6,224.3110151407695,0.20385418079609785,1310,***
1875,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1875,densidade_buffer_sintetica_20km_1875,0.18125641159253553,0.03480167929702145,5.208266246164984,2.215814290599858e-7,534.4522919242827,0.210808558358625,1310,***
1875,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1875,densidade_buffer_sintetica_50km_1875,0.0797401836555386,0.014993514156216116,5.318311826349219,1.23292428906742e-7,803.9529442566296,0.2087692150183439,1310,***
1875,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1875,densidade_buffer_sintetica_5km_1875,0.7539310207408858,0.33892685820546964,2.224465256996026,0.02628925871345885,73.55264406532451,0.2585307778143975,1310,**
1875,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1875,densidade_buffer_sintetica_10km_1875,0.3056447856518185,0.0695781313680738,4.392828316054272,1.2102974814047409e-5,224.3110151407695,0.2648805945191868,1310,***
1875,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_20km_1875,densidade_buffer_sintetica_20km_1875,0.13507462772011505,0.028058137017105085,4.814098228894153,1.6528490248709854e-6,534.4522919242827,0.2690052152576179,1310,***
1875,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_50km_1875,densidade_buffer_sintetica_50km_1875,0.06924166486082045,0.011795701004793139,5.870076295820347,5.529555314047963e-9,803.9529442566296,0.27338282688998083,1310,***
1876,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1876,densidade_buffer_sintetica_5km_1876,0.287064880847689,0.16630873296792742,1.7260962531838262,0.0845693546925817,309.4165056048695,0.15772039657624515,1308,*
1876,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1876,densidade_buffer_sintetica_10km_1876,0.23920718140386918,0.07453183476039796,3.209463206868087,0.0013625496689044663,400.2286726531917,0.17103415171178638,1308,***
1876,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1876,densidade_buffer_sintetica_20km_1876,0.1408775043240331,0.02541069523585466,5.544024003139198,3.5806055710262727e-8,768.1660051137858,0.18747195656595672,1308,***
