escopo,especificacao,tratamento,ano_trat,outcome,transf,n_obs,coef_ss,se_ss,t_stat,p_value,f_stat,erro
3_PAM,Dist ≤200km [COM Pontas],Dist. real (1985),1985,Valor Prod. Agrícola (2010),log,946,0.003101265904520527,0.006946186297108717,0.44647030354072115,0.6552575591141312,74.81660599629062,NA
3_PAM,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,Valor Prod. Agrícola (2010),log,946,0.30544895008291295,0.48328651793689464,0.6320245625448982,0.5273708271795994,42.80459180244435,NA
3_PAM,Dist ≤200km [COM Pontas],Densidade (1985),1985,Valor Prod. Agrícola (2010),log,946,-0.006214147286899862,0.007175265379313791,-0.8660512132157757,0.38646207761786244,38.76078318707146,NA
4_Social,Dist ≤200km [COM Pontas],Dist. real (1972),1972,IDHM (2000),nivel,1235,-6.130397988606703e-4,2.8985127816197445e-4,-2.1150149923371804,0.03442866954087731,51.796271008859456,NA
4_Social,Dist ≤200km [COM Pontas],Dummy ≤25km (1972),1972,IDHM (2000),nivel,1235,0.04520691515420912,0.016173602800268475,2.7951048206438394,0.005188288986791134,50.63813230902087,NA
4_Social,Dist ≤200km [COM Pontas],Densidade (1972),1972,IDHM (2000),nivel,1235,8.257784324961204e-4,2.5263547686487964e-4,3.268655862366402,0.001080596432634806,72.94625009492974,NA
4_Social,Dist ≤200km [COM Pontas],Dist. real (1985),1985,IDHM (2010),nivel,1244,-3.004280552689532e-4,1.8358333276410573e-4,-1.636466942535499,0.10174189879535356,64.7033454608798,NA
4_Social,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,IDHM (2010),nivel,1244,0.026229808667214718,0.011299723856141941,2.3212787322194215,0.020271805310772884,51.74992756046213,NA
4_Social,Dist ≤200km [COM Pontas],Densidade (1985),1985,IDHM (2010),nivel,1244,5.457974752226944e-4,1.8435699735739415e-4,2.9605465647968456,0.0030709369504495765,72.82715115944748,NA
4_Social,Dist ≤200km [COM Pontas],Dist. real (1972),1972,Renda per capita (2000),log,1235,-0.0039443182164342816,0.0017444832557150154,-2.2610238324228655,0.02375778130965589,51.796271008859456,NA
4_Social,Dist ≤200km [COM Pontas],Dummy ≤25km (1972),1972,Renda per capita (2000),log,1235,0.3124954876720517,0.09977233518292533,3.13208553352103,0.0017356930109810875,50.63813230902087,NA
4_Social,Dist ≤200km [COM Pontas],Densidade (1972),1972,Renda per capita (2000),log,1235,0.004801020622927202,0.001542270898955629,3.112955464684111,0.0018522396576143851,72.94625009492974,NA
4_Social,Dist ≤200km [COM Pontas],Dist. real (1985),1985,Renda per capita (2010),log,1244,-0.002964555896471203,0.001279678523111017,-2.3166411273857226,0.020523289043028026,64.7033454608798,NA
4_Social,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,Renda per capita (2010),log,1244,0.26800077045086007,0.08196859145437317,3.2695544195124966,0.0010771701528291544,51.74992756046213,NA
4_Social,Dist ≤200km [COM Pontas],Densidade (1985),1985,Renda per capita (2010),log,1244,0.0036418818422365197,0.001253077225577478,2.906350676478193,0.003656713841522885,72.82715115944748,NA
4_Social,Dist ≤200km [COM Pontas],Dist. real (1985),1985,% Pobres (2010),nivel,1244,0.09924938277163582,0.047175730565889876,2.1038229102359143,0.03539389754568645,64.7033454608798,NA
4_Social,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,% Pobres (2010),nivel,1244,-9.974393746540406,3.149584072881827,-3.1668923628426815,0.0015407733661956247,51.74992756046213,NA
4_Social,Dist ≤200km [COM Pontas],Densidade (1985),1985,% Pobres (2010),nivel,1244,-0.10184578384189666,0.03430253319064198,-2.9690455592848477,0.002987263026427156,72.82715115944748,NA
1_PIB,Dist ≤200km [SEM Pontas],Dist. real (1972),1972,PIB Total (2000),log,1147,7.621327256553023e-4,0.005707420397874627,0.13353365838253498,0.8937713470765756,53.96992931993634,NA
1_PIB,Dist ≤200km [SEM Pontas],Dummy ≤25km (1972),1972,PIB Total (2000),log,1147,0.9338299198338923,0.3912383199651391,2.3868569927329726,0.01699309999876175,33.57723790234754,NA
1_PIB,Dist ≤200km [SEM Pontas],Densidade (1972),1972,PIB Total (2000),log,1147,0.03635876390148112,0.015865703134481286,2.2916578983796696,0.021925391658089044,14.946275895005769,NA
1_PIB,Dist ≤200km [SEM Pontas],Dist. real (1985),1985,PIB Total (2010),log,1154,0.0011165186139730104,0.005083687415034303,0.21962770776799945,0.8261611105600766,70.29597718089941,NA
