"code_amc","x","y","sabem_7a14","nsabem_7a14","sabem_15a","nsabem_15a","numeroestabelecimento","commaquinas","cominstruagra","fabeofi","casaneg","popu"
10134,569613.977602767,8795484.12633691,65.8321066152362,931.587371614452,175.423264025319,820.321951709367,204.392437975781,4.83371611795952,0.0338254753428298,4.82041280812743,25.3009940629881,13180.2559378785
10135,379920.857573645,8582948.00495203,78.6360437718837,916.632602480929,184.122076254079,810.007810492871,413.489777371743,52.5902995209182,0.101182526368393,7.34682455735793,47.0901652031745,29064.5034654517
10136,144238.40214025,8418353.72239384,60.0438372763845,938.616908628016,188.06731210805,809.626380672566,243.947724927161,142.46945603587,0.701154861041857,4.10938355077226,44.3309615306712,24965.0829514005
10137,439095.34414179,8358300.405384,171.201631275149,818.146751427404,303.633412724434,686.729317684689,1044.85313490805,1.98661114254894,0.508735781838386,11.7356775376607,165.29179513087,36540.2878571664
10138,246866.373584465,8519248.60800975,85.9595244394423,899.988215978904,213.80515433315,778.053003834461,92.8243755186606,35.5120067318292,0.164059626144033,2.45739993417944,38.0268839205606,18232.5892783562
10139,406617.311732679,8380870.96557459,120.997106783327,863.28245620375,246.107359327541,737.066534658769,370.731247064829,10.0752914033793,0.164757035961296,6.49976337459302,92.7239317561013,29751.5019235564
10140,152901.904726001,8718756.68784178,108.543200572769,878.895726476895,266.093781499925,727.804918554004,37.5313827816777,3.73130334656057,0.0761944438136429,4.06110440249966,31.3327153625334,25435.4715620441
10141,135272.660452048,8576042.62664663,70.0773183594058,913.113688281984,213.932971456197,776.295773866181,101.556230772567,63.5987391948604,0.114827612928614,1.02299046359054,32.3323583583393,25107.2029527709
10142,298187.301027001,8605059.39710653,127.915581497883,838.0065088451,258.281171565989,727.058334111507,123.747452992474,4.35324354511744,0.0570679857009088,3.34204740055953,30.3548148211688,16837.842835303
10143,453265.931146203,8445001.77217444,104.102394602981,884.863789426095,207.624503926844,776.072249589747,105.618319330661,13.990342486342,0.0194033861928824,6.32347486309959,59.558220215216,21400.1504947581
10144,392130.048501654,8038113.16489784,152.172362550062,839.880415446928,328.638730745484,662.274416716537,113.182342479213,10.4600886009755,0.00755429735312909,4.0573875852426,51.7080305816926,10998.2319061741
10145,430871.259429513,8453862.2680884,102.998754289391,885.245399678785,200.463010368843,781.909382720999,151.673773306663,30.7330511541203,0.0283185923758715,4.65065515636021,46.730291020157,20680.4384569095
10146,147268.291272046,8600417.40627111,78.8473568243179,902.690612539614,232.06484340577,757.55796952072,64.5686774561262,38.3996133742903,0.0821974268087364,0.975961861453258,32.5438303160192,23766.6895705229
10147,181862.67504548,8718666.27931523,108.731606057242,876.185856432795,264.894639188117,727.900307724353,43.6877456364373,3.00767499456727,0.0736268237976996,3.52769671830342,36.4557811650064,25461.2577588516
10148,42380.4301521148,8665629.50517389,87.6451889170476,904.96786143499,226.571040779838,767.808276374933,58.2238540263871,25.0358425644506,0.14753117638864,7.75705738538005,32.9617176027932,21645.3063327338
10149,483308.175716803,8702864.56895532,79.9821426154984,916.737495495837,200.526036319157,797.105344401632,526.088542947268,1.30861196955284,2.5240640723215,3.96237282034508,36.7213667130045,31454.9703248984
10150,99539.6130645778,8464317.3019191,61.393802585152,936.232122492136,179.653846045908,818.570364973286,271.124479698081,160.674700780966,1.35869603530954,1.58939432356207,30.4059353315404,24682.7374293231
10151,384959.51801151,8382385.16092101,104.91865371274,880.654265645677,230.670332521125,754.371852842546,265.690087036441,11.0252328167584,0.110254874002282,4.8421834507141,73.9032014145697,29044.2885565713
10152,478824.780755607,8369547.5257959,246,754,360,640,0,0,0,15,173,63012
10153,563609.112954046,8696448.10783821,75,925,151,849,0,0,0,5,68,33036
10154,464498.905191336,8639510.03930251,97.0811521662109,894.37042820478,202.243816926974,790.098256555883,190.696262445149,12.0833366149311,0.695548803313378,12.2116069428421,96.387311321632,35755.1344944379
10155,421361.698342327,8445735.05796868,102.410714445823,885.622209607534,206.218842910056,776.741639607672,143.181802706981,23.659371108253,0,4.38153770172394,49.2403225088334,20569.7374480978
10156,412509.72675081,8656307.38757731,54,946,146,854,0,0,0,4,34,28850
10157,118349.019424286,8689130.59258291,104.051151492228,888.421557434421,267.253560587039,728.429444267565,21.8671094892946,10.0182620932358,0.030710383063056,2.42786864990111,15.293299837273,29626.2005840812
10158,387121.848246505,8537909.38542684,87.5321591079307,907.308966717655,181.511611124764,809.925456543194,606.378756258205,86.9089096539477,0.124772397309255,4.73290874907056,60.1253898880797,33803.1969495024
10159,293240.657706888,8507126.10887739,82.3779054811427,907.151001537093,202.304872319072,791.486559404544,174.551610935878,21.9158706276364,0.0813558873878506,2.13050862754518,46.4375807172316,21080.4643513931
10160,219080.358036171,8645218.05174217,128.386526072036,842.753009768036,291.676382580204,695.296375358077,54.157784450284,7.66947484884048,0.0210467613648785,1.40726889581283,37.4964173032656,16699.1464168867
10161,526589.634456603,8667773.36483793,82,918,183,817,1073,1,1,17,2,37546
10162,461648.300892975,8161002.20674306,293,707,499,501,162,2,0,5,25,4041
10163,363167.64736898,8618192.14340427,61,939,175,825,410,5,0,18,11,22861
10164,456650.390232722,8344095.86466347,190,810,325,675,2049,2,1,17,243,41980
10165,482873.745352436,8412368.31849519,159,841,312,688,0,0,0,0,101,24350
