code_amc,ano,dens_placebo_5km,dens_placebo_10km,dens_placebo_20km,dens_placebo_50km
7009,1858,0,0,0,0
7010,1858,0.311763298329824,0.6402601462557799,0.9999999999999976,0.9999999999999976
7011,1858,0,0,0,0
7012,1858,0,0,0,0
7013,1858,0,0,0,0
7014,1858,0,0,0,0
7015,1858,0,0,0.23091857727358917,0.9999999999999958
7016,1858,0,0,0,1.0000000000000024
7017,1858,0,0,0,0.9999999999999998
7018,1858,0,0,0,0
7019,1858,0,0,0,0
7020,1858,0,0,0,0
7021,1858,0,0,0,0.7566382147027896
7022,1858,0,0,0,0
7023,1858,0,0,0,0
7024,1858,0,0,0,0
7025,1858,0,0,0.1829969258544753,0.9999999999999982
7026,1858,0,0,0,0
7027,1858,0,0,0,0
7028,1858,0,0,0,0
7029,1858,0,0,0,0
7030,1858,0,0,0,0
7031,1858,0,0,0.11525793360969629,1.0000000000000042
7032,1858,0,0,0,0
7033,1858,0,0,0,0
7034,1858,0,0,0,0
7035,1858,0,0,0,0
7036,1858,0,0,0,0
7037,1858,0,0,0,0.6102140191363106
7038,1858,0,0,0,0.999999999999998
7039,1858,0,0,0,0
7040,1858,0,0,0,0
7041,1858,0,0,0,0
7042,1858,0,0,0,0
7043,1858,0,0,0,0
7044,1858,0,0,0,0
7045,1858,0,0,0,0.001491596958735697
7046,1858,0,0,0,0
7047,1858,0,0,0,1.0000000000000104
7048,1858,0,0,0,0
7049,1858,0,0,0,0.9999999999999906
7050,1858,0,0,0.512875527882441,1.000000000000011
7051,1858,0,0,0,0
7052,1858,0,0,0,0
7053,1858,0.020655310172840613,0.25318401925518724,1.000000000000002,1.000000000000002
7054,1858,0,0,0,0.24265350640749164
7055,1858,0,0,0,0.49662389000400203
7056,1858,0,0,0,0
7057,1858,0,0,0,0
7058,1858,0.1858692574819344,0.5292884786556931,0.9737115450949317,1.0000000000000049
7059,1858,0,0,0,0
7060,1858,0,0,0,0.8526358609079877
7061,1858,0,0,0,0
7062,1858,0,0,0,0
7063,1858,0,0,0,0
7064,1858,0,0,0,0
7065,1858,0.38547491081955,0.6871848339657701,1.000000000000019,1.000000000000019
7066,1858,0,0,0,0
7067,1858,0,0,0,0.999999999999994
7068,1858,0,0,0,0
7069,1858,0,0,0,0
7070,1858,0,0,0.08178799891718493,1.000000000000002
7071,1858,0,0,0,0
7072,1858,0,0,0,0
7073,1858,0,0,0,0
7074,1858,0,0,0,0
7075,1858,0,0,0,0
7076,1858,0,0,0,0
7077,1858,0,0,0.16352318766162063,0.9999999999999925
7078,1858,0,0,0,0
7079,1858,0,0,0,0
7080,1858,0,0,0,0
7081,1858,0,0,0,0
7082,1858,0,0,0,0
7083,1858,0,0,0,0
7084,1858,0,0,0,0
7085,1858,0,0,0,0.937012967460943
7086,1858,0,0,0,1.0000000000000009
7087,1858,0,0,0,0
7088,1858,0,0,0,0
7089,1858,0,0,0,0
7090,1858,0.03620671190388727,0.6230021696947379,0.9999999999999911,0.9999999999999911
7091,1858,0,0,0,0
7092,1858,0,0,0,0
7093,1858,0,0,0,0.23030684460866208
7094,1858,0,0,0,0
7095,1858,0,0,0,0.7297306631270669
7096,1858,0,0,0,0
7097,1858,0,0,0,0
7098,1858,0,0,0,0.03042279252032116
7099,1858,0,0,0,0
7100,1858,0,0,0,0
7101,1858,0,0,0,0
7102,1858,0,0,0,1.0000000000000078
7103,1858,0,0,0,0
7104,1858,0,0,0,0
7105,1858,0,0,0,0
7106,1858,0,0,0,0
7107,1858,0,0,0,0
7108,1858,0,0.013661165035943007,0.6007909325961236,0.9999999999999933
7109,1858,0,0,0,0
7110,1858,0,0,0,0
7111,1858,0,0,0,0
7112,1858,0,0,0,0
7113,1858,0,0,0,0.8181229542227413
7114,1858,0,0,0,0.11411001182270362
7115,1858,0,0,0,0
7116,1858,0,0,0,0
7117,1858,0,0,0,0
7118,1858,0,0.009275840142293677,0.38628057440230157,0.9999999999999883
7119,1858,0.35232146830168026,0.6783767116359802,1.0000000000000075,1.0000000000000075
7120,1858,0,0,0,0
7121,1858,0,0,0,0.00689578561214136
7122,1858,0,0,0,0
7123,1858,0.438799217526887,0.7558590557882535,0.9999999999999892,0.9999999999999892
7124,1858,0,0,0.15959504532863208,1.0000000000000127
7125,1858,0,0,0,1.0000000000000095
7126,1858,0,0,0,0
7127,1858,0,0,0,0
7128,1858,0,0,0,0
7129,1858,0,0,0,0
7130,1858,0,0,0,0
7131,1858,0,0,0,0
7132,1858,0,0,0,0
7133,1858,0,0,0,0
7134,1858,0,0,0,0.31390057134170046
7135,1858,0,0,0,0
7136,1858,0,0,0,0
7137,1858,0,0,0,0
7138,1858,0,0,0,0.9406546408407974
7139,1858,0,0,0,1.0000000000000093
7140,1858,0,0,0,0
7141,1858,0,0,0,0
7142,1858,0,0,0,0
7143,1858,0,0,0,0
7144,1858,0,0,0,0
7145,1858,0,0,0,0
7146,1858,0,0,0.23441678635084146,1.0000000000000115
7147,1858,0,0,0,0
7148,1858,0,0,0,0
7149,1858,0,0,0,0
7150,1858,0,0,0,0
7151,1858,0,0,0,0
7152,1858,0,0,0,0
7153,1858,0,0,0,0
7154,1858,0,0,0,0
7155,1858,0,0,0,0
7156,1858,0,0,0,0
7157,1858,0,0,0,0
7158,1858,0,0,0,0
7159,1858,0,0,0,0
7160,1858,0,0,0,0
7161,1858,0,0,0,0
7162,1858,0,0,0,0
7163,1858,0,0,0,0
7164,1858,0,0,0,0
7165,1858,0,0.03626115600334516,0.2773181873429511,1.0000000000000027
8001,1858,0,0,0,0
8002,1858,0,0,0,0
8003,1858,0,0,0,0
8004,1858,0,0,0,0
8005,1858,0,0,0,0
8006,1858,0,0,0,0
8007,1858,0,0,0,0
8008,1858,0,0,0,0
8009,1858,0,0,0,0
8010,1858,0,0,0,0
8011,1858,0,0,0,0
8012,1858,0,0,0,0
8013,1858,0,0,0,0
8014,1858,0,0,0,1.0000000000000042
8015,1858,0,0,0,0
8016,1858,0,0,0,0
8017,1858,0,0,0,0
8018,1858,0,0,0,0
8019,1858,0,0,0,0
8020,1858,0,0,0,0
8021,1858,0,0,0,0
8022,1858,0,0,0,0.5784026246847369
8023,1858,0,0,0,0
8024,1858,0,0,0,0
8025,1858,0,0,0,0
8026,1858,0,0,0,0
8027,1858,0,0,0,0
8028,1858,0,0,0,0
8029,1858,0,0,0,0
8030,1858,0,0,0,0
8031,1858,0,0,0,0
8032,1858,0,0,0,0.011768260548599977
8033,1858,0,0,0,0
8034,1858,0,0,0,0
8035,1858,0,0,0,0
8036,1858,0,0,0,0
8037,1858,0,0,0,0.9999999999999938
8038,1858,0,0,0,0
8039,1858,0,0,0,0
8040,1858,0,0,0,0
8041,1858,0,0,0,0
8042,1858,0,0,0,0
8043,1858,0,0,0,0
8044,1858,0,0,0,0
8045,1858,0,0,0,0
8046,1858,0,0,0,0.7950844923812241
8047,1858,0,0,0,0
8048,1858,0,0,0,0
8049,1858,0,0,0,0
8050,1858,0,0,0,0
8051,1858,0,0,0,0
8052,1858,0,0,0,0
8053,1858,0,0,0,0
8054,1858,0,0,0,0
8055,1858,0,0,0,0
8056,1858,0,0,0,0
8057,1858,0,0,0,0.8857972484359554
8058,1858,0,0,0,0
8059,1858,0,0,0,0
8060,1858,0,0,0,0
8061,1858,0,0,0,0
8062,1858,0,0,0,0
8063,1858,0,0,0,0
8064,1858,0,0,0,0
8065,1858,0,0,0,0
8066,1858,0,0,0,0
8067,1858,0,0,0,0
8068,1858,0,0,0,0
8069,1858,0,0,0,0
8070,1858,0,0,0,0
8071,1858,0,0,0,0
8072,1858,0,0,0,0
8073,1858,0,0,0,0.6762715835157431
8074,1858,0,0,0,0
8075,1858,0,0,0,0
8076,1858,0,0,0,0
8077,1858,0,0,0,0
8078,1858,0,0,0,0
8079,1858,0,0,0,0
8080,1858,0,0,0,0
8081,1858,0,0,0,0
8082,1858,0,0,0,0
8083,1858,0,0,0,0
8084,1858,0,0,0,0
8085,1858,0,0,0,0
8086,1858,0,0,0,0
8087,1858,0,0,0,0
8088,1858,0,0,0,0
8089,1858,0,0,0,0
8090,1858,0,0,0,0
8091,1858,0,0,0,0
8092,1858,0,0,0,0
8093,1858,0,0,0,0
9001,1858,0,0,0,0
9002,1858,0,0,0,0
9003,1858,0,0,0,0
9004,1858,0,0,0,0
9005,1858,0,0,0,0
9006,1858,0,0,0,0
9007,1858,0,0,0,0
9008,1858,0,0,0,0
9009,1858,0,0,0,0
9010,1858,0,0,0,0
9011,1858,0,0,0,0
9012,1858,0,0,0,0
9013,1858,0,0,0,0
9014,1858,0,0,0,0
9015,1858,0,0,0,0
9016,1858,0,0,0,0
9017,1858,0,0,0,0
9018,1858,0,0,0,0
9019,1858,0,0,0,0
9020,1858,0,0,0,0
9021,1858,0,0,0,0
9022,1858,0,0,0,0
9023,1858,0,0,0,0
9024,1858,0,0,0,0
9025,1858,0,0,0,0
9026,1858,0,0,0,0
9027,1858,0,0,0,0
9028,1858,0,0,0,0
9029,1858,0,0,0,0
