code_amc,list_name_muni_2010,id_ferrovia,nome_ferrovia,ano_virou_ponta,ano_deixou_ser_ponta,anos_totais_como_ponta,status_atual
10292,"2928604,2929750",28,E.F. Leste Brasileiro (BA),1912,2003,44,Ponta Final
10292,"2928604,2929750",69,E.F. de Santo Amaro (Recôncavo),1883,2003,65,Ponta Final
10293,2928703,29,Ramal de Jequié,1885,1951,50,Ponta Temporária
10293,2928703,30,Ramal de Nazaré,1883,2003,65,Ponta Final
10297,2929008,7,E.F. Central da Bahia,1881,2003,67,Ponta Final
10297,2929008,69,E.F. de Santo Amaro (Recôncavo),1923,2003,33,Ponta Final
10299,2929206,28,E.F. Leste Brasileiro (BA),1912,2003,44,Ponta Final
10299,2929206,69,E.F. de Santo Amaro (Recôncavo),1910,2003,46,Ponta Final
10301,2929404,29,Ramal de Jequié,1908,1908,1,Ponta Temporária
10302,2929503,28,E.F. Leste Brasileiro (BA),1905,2003,50,Ponta Final
10302,2929503,69,E.F. de Santo Amaro (Recôncavo),1906,2003,49,Ponta Final
10303,2929602,29,Ramal de Jequié,1881,1951,54,Ponta Temporária
10312,2930709,26,E.F. Bahia ao São Francisco,1860,2003,74,Ponta Final
10312,2930709,28,E.F. Leste Brasileiro (BA),1905,2003,50,Ponta Final
10319,2931400,69,E.F. de Santo Amaro (Recôncavo),1892,2003,58,Ponta Final
10322,2931707,69,E.F. de Santo Amaro (Recôncavo),1883,2003,59,Ponta Final
10325,2932101,29,Ramal de Jequié,1916,1921,6,Ponta Temporária
10326,2932200,27,E.F. Ilhéus-Conquista,1931,2003,27,Ponta Final
10330,2932705,27,E.F. Ilhéus-Conquista,1913,1929,16,Ponta Temporária
