code_amc,densidade_sintetica_1858,densidade_sintetica_1860,densidade_sintetica_1862,densidade_sintetica_1863,densidade_sintetica_1876,densidade_sintetica_1881,densidade_sintetica_1882,densidade_sintetica_1883,densidade_sintetica_1884,densidade_sintetica_1885,densidade_sintetica_1886,densidade_sintetica_1887,densidade_sintetica_1888,densidade_sintetica_1894,densidade_sintetica_1896,densidade_sintetica_1901,densidade_sintetica_1902,densidade_sintetica_1904,densidade_sintetica_1905,densidade_sintetica_1906,densidade_sintetica_1907,densidade_sintetica_1910,densidade_sintetica_1912,densidade_sintetica_1913,densidade_sintetica_1915,densidade_sintetica_1916,densidade_sintetica_1917,densidade_sintetica_1919,densidade_sintetica_1920,densidade_sintetica_1921,densidade_sintetica_1923,densidade_sintetica_1925,densidade_sintetica_1926,densidade_sintetica_1927,densidade_sintetica_1931,densidade_sintetica_1933,densidade_sintetica_1934,densidade_sintetica_1937,densidade_sintetica_1941,densidade_sintetica_1947,densidade_sintetica_1948,densidade_sintetica_1949,densidade_sintetica_1950,densidade_sintetica_1951,densidade_sintetica_1956,densidade_sintetica_1957,densidade_sintetica_1958,densidade_sintetica_1962,densidade_sintetica_1966,densidade_sintetica_1969,densidade_sintetica_1972,densidade_sintetica_1985,densidade_sintetica_1996,densidade_sintetica_2003
3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475,49.758382007475
3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.35931868523,73.9321978087159,103.505076932202
3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408,23.3891687144408
3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887,37.6456857255887
3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.919861101072,80.7595833032162
